,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,CHOTI,145.00,84.89,0.90,1087.50,31.04,160.98,156.20,-0.01,-0.01,0.59,4.45,0.0,,4.0,,16.0,,0.0,,6.11,41.11,105.76,6.68,0.07,4.19,16.69,1.71,1.0162311390356515,0.6999991717260401,3.579851190044523,0.3653090440367077,6331.92,298.23,-89.76
1,EE,0.68,41.02,1.39,1890.40,41.29,0.49,0.48,0.75,0.92,N/A,N/A,0.0,,0.0,,0.0,,0.0,,24.61,31.61,25.62,3.06,0.00,-0.04,-0.05,0.02,3.4597191981379978,0.022929636334201656,97.98270893371759,45.00439496044535,N/A,N/A,N/A
2,GFPT,12.30,8.82,1.28,15422.00,7.40,9.59,9.34,0.97,1.28,0.22,0.20,0.0,,0.25,,0.3,,0.3,,269.73,592.49,310.87,736.26,1.42,0.95,1.31,1.39,15.41220723329569,0.4326301798240911,16.407625733453767,9.979890094772852,-32.85,37.56,6.37
3,LEE,2.88,13.90,1.01,2655.88,10.30,2.86,2.82,0.23,0.36,0.92,1.07,0.0,,0.12,,0.24,,0.19,,623.90,25.49,42.54,41.53,0.19,0.16,0.27,0.21,7.192731254739115,0.12222828682540765,12.40472532329497,5.675009649357205,-17.96,70.47,-22.97
4,STA,11.80,N/A,0.79,18124.80,31.92,14.91,15.10,1.44,2.30,N/A,N/A,0.4,,0.4,,0.4,,0.0,,2131.62,2197.24,1674.62,2241.90,0.81,0.87,-0.59,-1.05,-6.7221650886656406,1.5903109084456413,4.224809449339336,-1.5745449318071554,7.74,N/A,N/A
5,TLUXE,6.20,N/A,2.53,3490.91,-207.04,2.45,3.04,1.04,1.98,N/A,N/A,0.0,,0.0,,0.0,,0.0,,28.24,108.49,73.20,48.29,-0.02,-0.07,0.42,-0.44,-15.602220582903012,1.848181996071923,16.498109563031935,-13.31132291838901,N/A,N/A,N/A
6,TRUBB,1.77,20.65,1.35,2982.59,13.97,1.32,3.11,1.04,1.62,0.19,N/A,0.0,,0.0,,0.0,,0.04,,281.32,128.62,127.19,190.17,-0.18,-0.11,-0.25,0.21,6.807232891176665,2.5112358790502607,10.882174483089278,1.5251494944331672,N/A,N/A,N/A
7,TWPC,10.50,18.75,1.73,9244.42,11.91,6.07,5.94,0.84,0.77,0.57,0.47,0.0,,0.36,,0.21,,0.0,,879.17,1218.53,315.33,827.07,0.49,0.09,0.76,0.56,9.437395951900701,0.2263926843273797,22.081282282109722,7.61222750044786,N/A,65.47,-26.33
8,UPOIC,4.42,N/A,1.34,1432.30,27.69,3.30,3.33,0.29,0.28,N/A,N/A,0.15,,0.1,,0.15,,0.0,,170.42,76.90,96.04,111.73,0.58,-0.04,0.22,-0.06,-1.6532352569996573,0.4225381109686597,7.168313199339645,-2.347399813129568,N/A,N/A,N/A
9,UVAN,7.95,11.96,2.15,7473.00,8.01,3.69,3.44,0.51,0.45,0.75,0.83,0.17,,0.4,,0.4,,0.33,,697.16,523.82,447.92,826.77,0.68,0.40,0.37,0.66,18.655251138143527,0.17213985643494512,7.086435940557362,9.444859377882066,-41.18,-7.94,81.29
10,VPO,0.79,N/A,1.05,742.60,-272.59,0.75,0.78,0.57,0.76,N/A,N/A,0.0,,0.0,,0.0,,0.0,,111.84,9.30,6.29,1.06,0.11,-0.13,-0.23,-0.21,-24.311360152900075,1.0945279242197852,-1.0442924018725244,-14.080751011723775,N/A,N/A,N/A
