,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,APURE,1.72,11.62,1.09,1648.22,6.37,1.58,1.57,0.37,0.65,0.34,0.46,0.0,,0.06,,0.1,,0.0,,63.58,114.54,237.01,248.12,0.12,0.11,0.22,0.16,9.536457685415243,0.07532464092495347,24.95406400311047,8.82107803500566,21.40,98.99,-25.98
1,ASIAN,7.10,9.22,1.52,3853.37,11.60,4.68,6.73,1.68,1.71,0.37,0.17,0.0,,0.25,,0.266,2.00 : 1.00 2.00 : 1.00,0.0,,34.52,51.83,66.51,38.64,-0.36,0.50,0.43,0.77,17.578415747488467,1.6828593825706395,10.468605784087956,4.227539992839819,N/A,-15.33,170.33
2,BR,6.80,11.21,1.28,6211.44,10.56,5.29,5.11,1.14,1.82,0.66,0.38,0.0,,0.5,,0.2,,0.4,,257.52,192.85,557.16,297.43,0.96,0.69,0.23,0.61,11.917862594434459,0.9086068329213169,18.361619353413865,6.239770752208054,N/A,-61.30,160.16
3,BRR,8.20,12.69,2.69,6659.22,11.43,3.04,3.12,0.69,0.75,0.70,0.04,0.0,,0.0,,0.59222,5.00 : 1.00,0.0,,348.53,213.92,85.35,229.07,0.44,0.40,0.17,0.65,22.998636903535726,2.7355940433797348,22.859223334796628,8.85145187899153,15.25,-58.42,364.02
4,CBG,54.00,43.35,7.59,54000.00,43.19,7.11,6.91,1.61,1.56,0.68,0.76,0.95,,0.94,,0.95,,0.5,,528.08,1377.48,745.06,146.77,1.22,1.26,1.49,1.25,17.814056375931056,0.775201088591438,31.498096749595483,9.533455210797252,37.50,18.66,-16.37
5,CFRESH,4.94,N/A,1.22,2289.94,17.36,4.03,3.98,0.34,0.45,N/A,1.18,0.0,,0.55,,0.28,,0.0,,261.76,380.22,92.68,236.66,0.89,0.99,0.56,-0.02,-0.420212532554856,1.8445806458513836,12.169634089065367,-0.1082166193606711,11.96,-43.78,N/A
6,CM,5.00,11.88,1.32,1905.73,7.90,3.79,3.76,0.56,0.88,0.81,0.73,0.0,,0.2,,0.49,,0.2,,172.88,291.03,405.13,126.74,0.16,0.31,0.52,0.42,11.01384197083299,0.09136370247750712,23.811207093358085,11.39510268450178,97.86,64.25,-18.32
7,CPF,24.40,13.77,1.23,210114.31,11.98,19.85,19.72,0.76,0.99,0.42,0.50,0.3,,0.95,,0.95,,0.0,,33551.55,36460.82,34100.38,22971.72,1.43,1.50,1.99,1.91,10.115126672749271,2.1834636985225147,11.981067082745525,2.916648301412451,4.71,32.95,3.78
8,CPI,2.46,96.11,0.88,1556.57,15.27,2.80,2.68,1.10,0.89,1.56,N/A,0.0,,0.03,,0.03,,0.04,,91.46,71.66,73.60,96.32,0.09,-0.03,-0.03,0.03,0.9151017203347465,1.5505053931212263,9.160758045742467,0.3248778198692868,N/A,N/A,N/A
9,F&D,18.30,N/A,0.55,322.52,-121.44,33.19,34.61,0.04,-0.15,N/A,N/A,0.0,,0.0,,0.0,,0.0,,12.70,7.86,1.60,13.28,-1.63,-5.50,-4.31,-2.59,-7.3359173349677596,0.6082972940633494,10.635427207389535,-5.442412132390614,N/A,N/A,N/A
