,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AFC,9.15,163.95,0.34,417.00,135.15,26.58,26.51,-0.11,-0.16,N/A,N/A,0.0,,0.0,,0.0,,0.0,,,102.81,152.54,145.12,,-1.15,-0.26,0.18,0.7437203897380888,0.16546536357693165,4.424081190265046,1.00977001031616,,N/A,N/A
1,BTNC,26.00,36.10,0.69,312.00,15.31,37.90,37.57,0.09,0.45,0.69,0.34,0.5,,0.0,,0.75,,0.0,,2.81,5.53,2.80,9.33,-0.43,-0.65,1.89,0.72,1.8964836033188461,0.7775774499241441,43.58301098957399,1.058810553792233,N/A,N/A,-61.92
2,CPH,6.00,N/A,0.30,240.00,-29.91,19.88,21.18,-0.29,-0.49,N/A,N/A,0.0,,0.0,,0.0,,0.0,,74.23,48.53,23.86,33.17,-0.34,1.26,-2.51,-2.43,-12.454249955209743,0.8512296937081929,7.02882110746995,-8.045302360186831,N/A,N/A,N/A
3,CPL,3.18,N/A,1.30,1332.10,-53.73,2.44,29.14,0.01,0.10,N/A,N/A,0.0,,1.5,,0.0,,0.00556,20.00 : 1.00,69.17,19.02,10.95,109.17,3.37,1.33,-2.14,-0.25,-10.440121789619559,0.9226425800690227,6.181562527462883,-4.337648146591578,-60.47,N/A,N/A
4,DIGI,0.64,N/A,2.37,1011.46,-13.84,0.27,0.30,0.50,1.21,N/A,N/A,0.0,,0.0,,0.0,,0.0,,47.70,18.55,14.95,13.17,-0.03,-0.01,-0.01,-0.11,-33.10247543665449,1.3307504461350617,-50.41224970553591,-197.4062390466176,N/A,N/A,N/A
5,ICC,39.50,13.56,0.58,11480.03,12.51,68.51,64.97,-0.02,0.04,0.38,0.52,1.05,,1.05,,1.15,,0.0,,617.17,208.15,1175.49,255.40,1.88,2.42,3.22,2.91,4.537965008326948,0.16922907708023832,36.84315392167417,6.276582492481269,28.98,33.15,-9.59
6,LTX,75.00,8.25,0.68,3888.00,5.46,110.22,107.86,0.36,0.02,0.27,0.30,0.625,,2.5,,2.5,,1.25,,,146.12,72.73,70.55,,1.66,8.68,7.29,7.136994672235271,0.7752870087281726,9.47990325298258,4.000203276348902,,3.41,-16.00
7,NC,15.60,15.31,0.53,233.24,20.85,29.49,27.90,0.03,0.33,0.29,0.25,0.4,,0.2,,0.22,,0.0,,0.56,0.55,0.74,0.53,1.93,0.72,0.97,1.02,3.647161655710813,0.6373511736024493,32.55425448868072,2.3246939585432123,-62.48,34.44,4.90
8,PAF,1.21,N/A,1.58,653.40,508.05,0.76,0.83,0.41,0.72,N/A,0.07,0.0,,0.0204,,0.0222,,0.0,,81.68,113.47,74.69,41.40,0.06,0.30,0.45,-0.08,-10.33504092327622,0.7327919860362754,11.792274070892603,-5.408136854949037,427.98,48.74,N/A
9,PDJ,3.04,N/A,0.57,1266.71,-83.72,5.53,5.60,0.60,0.32,N/A,N/A,0.0,,0.05,,0.0,,0.0,,342.39,358.22,455.37,219.44,0.36,-0.14,-0.71,-0.40,-7.051516019119348,0.9919691280767629,28.442836250283225,-5.5282167971159515,N/A,N/A,N/A
