,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,ACC,0.52,N/A,0.97,698.39,17.81,0.60,0.62,0.87,0.77,N/A,N/A,0.0,,0.0,,0.0,,0.0,,47.27,48.95,30.64,28.45,0.04,-0.01,-0.02,-0.04,-7.090921309051811,1.2262878481753454,24.833903764847996,-16.687753036437243,N/A,N/A,N/A
1,AJA,0.53,N/A,1.85,2247.36,-8.29,0.29,0.30,0.58,0.28,N/A,N/A,0.0,,0.0,,0.0,,0.0,,47.52,163.90,121.79,82.71,0.04,0.00,0.09,-0.10,-28.965253994677294,0.16603985220374767,3.6517956927537907,-60.045718974839914,-94.78,5473.27,N/A
2,DTCI,26.00,10.20,0.74,260.00,5.43,35.16,34.45,0.48,0.35,0.24,0.25,0.0,,0.6,,0.7,,0.6,,33.28,23.92,36.92,60.54,0.34,1.77,3.00,2.55,7.4500409021853455,0.13262607013851363,36.86806411837239,10.619690154922539,422.29,69.67,-15.09
3,FANCY,1.01,N/A,0.50,621.15,-10.80,2.03,2.11,0.62,1.17,N/A,N/A,0.0,,0.0,,0.0,,0.0,,89.96,35.47,25.98,25.42,0.04,-0.16,-0.24,-0.14,-6.6779530588687965,0.13882175951858905,5.973183793337134,-11.375761945336567,N/A,N/A,N/A
4,KYE,460.00,10.18,1.57,10120.00,7.49,292.74,283.05,0.24,-0.03,0.67,0.53,21.07,,19.14,,30.36,,0.0,,,808.46,1063.85,1531.00,,42.13,38.27,60.72,22.73023122454484,0.3102070078530022,17.886553253049307,13.29081493052619,,-9.18,58.67
5,L&E,2.98,24.01,1.25,1466.28,14.74,2.39,2.35,0.60,0.54,0.97,0.96,0.0,,0.0925,,0.15,,0.0,,22.87,56.60,71.38,44.29,0.38,0.15,0.17,0.13,5.356673039482223,1.4272851179827923,31.375598367270204,2.3770699149656553,-57.37,18.23,-17.59
6,MODERN,5.25,18.26,1.55,3937.50,12.23,3.38,3.29,0.19,0.12,1.04,0.94,1.05,,0.35,,0.25,,0.0,,467.61,685.34,398.45,449.33,1.05,0.88,0.23,0.29,8.681699860888264,0.5264102210217079,29.585096678166998,6.715878651965365,-15.59,-73.90,24.69
7,OGC,39.75,12.85,0.45,847.90,7.10,88.27,86.92,0.56,0.76,0.50,0.47,0.0,,3.13,,2.22,,1.55,,94.28,117.18,92.77,95.01,2.20,6.26,4.43,3.09,3.688609364081062,0.621237067408808,34.430351455551204,3.045183920247381,183.76,-29.12,-30.23
8,ROCK,15.60,N/A,0.74,312.00,-163.10,21.06,21.30,-0.17,0.85,N/A,N/A,0.0,,0.5,,0.25,,0.0,,20.94,26.36,77.38,49.69,-0.54,1.95,0.91,-1.74,-7.866947063745109,0.6672442851377975,25.250290392167706,-6.3286764170850605,N/A,-53.46,N/A
9,SIAM,2.04,N/A,0.54,1209.98,-32318.06,3.79,3.73,0.47,0.85,N/A,N/A,0.0,,0.012,,0.01,,0.0,,333.08,379.52,380.03,425.07,-0.38,0.10,-0.05,-0.08,-2.08850134606996,0.3213293690474603,21.449796536386867,-2.8015509007518085,N/A,N/A,N/A
10,TSR,2.54,16.96,1.18,1312.50,10.10,2.16,2.10,0.29,0.85,0.94,0.75,0.12,6.00 : 1.00,0.13,10.00 : 1.00,0.06,,0.0,,8.18,33.63,101.40,32.57,0.31,0.36,0.18,0.16,7.415714183020632,0.3230189356546711,75.72564805160164,4.568968571732275,55.72,-44.79,-4.00
