,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,BAY,39.25,12.44,1.28,288713.65,-,30.61,29.81,1.14,0.76,0.27,0.28,0.4,,0.8,,0.85,,0,,31154.5,33689.89,36142.43,38244.2,2.33,2.54,2.91,3.16,10.71255131,8.274244304,,,31.51,14.86,8.43
1,BBL,193,11.16,0.92,368406.68,-,210.45,205.89,0.81,0.95,0.38,0.38,2,,6.5,,6.5,,4.5,,59898.6,61431.62,66338.32,65472.8,19.03,17.91,16.67,17.29,8.455758554,6.657072882,,,-5.92,-6.92,3.75
2,CIMBT,1.04,81.82,0.95,31491.44,-,1.09,1.1,0.91,0.9,N/A,N/A,0,,0.0075,,0,,0,,3989.62,2397.2,1938.62,1591.19,0.05,0.05,-0.03,0.01,1.288211459,8.094909967,,,6.44,N/A,N/A
3,KBANK,195.5,13.63,1.34,467882.37,-,145.67,143.09,1.18,1.36,0.28,0.25,0.5,,4,,4,,3.5,,58005.65,56226.23,60588.8,67824.63,19.28,16.49,16.79,14.35,10.24454748,7.208368714,,,-14.47,1.77,-14.53
4,KKP,73.75,10.89,1.51,62447.89,-,48.81,47.23,1.05,0.83,0.74,0.86,1,,4,,6,,0,,1301.07,1032.05,1167.42,1424.56,3.14,3.92,6.55,6.78,14.05575215,5.269187592,,,25.83,67.22,3.43
5,KTB,18.2,11.34,0.88,254364.31,-,20.59,20.3,0.88,0.96,0.38,0.48,0,,0.76,,0.86,,0,,74587.62,71470.11,72106.42,73572.87,2.37,2.04,2.31,1.61,7.988745415,8.893141995,,,-14.15,13.3,-30.49
6,LHBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SCB,131,10.32,1.23,444801.06,-,106.93,104.26,0.82,0.89,0.43,0.4,1.5,,5.5,,5.5,,4,,42131.8,38979.3,40488.51,40797.18,15.69,13.88,14.01,12.69,12.37237624,7.319217797,,,-11.54,0.91,-9.37
8,TCAP,53.75,8.95,1.01,64847.57,-,53.23,51.56,0.93,1.15,0.37,0.34,0.7,,1.9,,2.1,,0,,16605.43,13337.37,12077.05,11453.28,4.24,4.61,5.16,6.01,11.77545141,14.43806635,,,6.18,10.6,16.44
9,TISCO,88.75,11.67,2.05,71057.3,-,43.22,41.27,0.84,0.95,0.66,0.48,0,,2.4,,3.5,,5,,1180.48,1101.29,1149,1324.81,5.31,5.31,6.25,7.61,18.50239042,7.763626323,,,0.01,17.78,21.66
10,TMB,2.36,11.91,1.15,103490.47,-,2.05,2,0.95,0.78,0.3,0.31,0,,0.06,,0.06,,0.06,,16427.95,17290.4,16530.91,17871.74,0.22,0.21,0.19,0.2,10.00892277,8.391426239,,,-2.16,-11.86,5.6
