,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AEC,0.51,N/A,0.58,624.37,-,0.88,0.90,0.46,0.71,N/A,N/A,0.0,,0.0,,0.0,,0.0,,,347.55,139.79,95.46,0.01,-0.17,-0.02,-0.06,-6.666897855148857,1.376962664592963,,-10.53684470143323,N/A,N/A,N/A
1,AEONTS,175.00,14.75,2.78,43750.00,-,62.95,57.88,1.96,0.55,0.32,0.33,3.45,,3.45,,3.45,,0.0,,2769.45,2924.53,3649.12,4089.80,9.67,9.79,9.61,11.87,20.156278719586755,4.127287735684197,,,,-5.44,23.42
2,AMANAH,1.92,38.75,1.91,1841.24,-,1.00,0.98,2.00,1.98,0.02,N/A,0.0,,0.0,,0.0,,0.0,,267.89,162.17,99.85,97.50,-0.24,-0.14,0.03,0.05,5.060190928500312,1.9884951153606316,,,N/A,N/A,51.16
3,ASAP,8.40,40.44,4.34,5544.00,-,1.94,2.06,0.64,0.61,0.20,-,0.0,,0.0,,0.04,,0.0056,10.00 : 1.00,,,6.70,40.17,,,0.16,0.25,14.573095006837628,5.230920294289252,,,,,N/A
4,ASK,22.40,10.58,1.63,7882.46,-,13.73,13.19,0.48,0.57,0.70,0.69,0.0,,1.35,,1.4,,1.48,,144.34,117.28,94.72,303.57,1.91,1.93,2.01,2.12,15.83633126976114,6.037843801685397,,,1.43,3.83,5.43
5,ASP,3.76,10.68,1.64,7917.27,-,2.29,2.20,0.66,0.74,0.85,0.83,0.12,,0.21,,0.30928,,0.2,,832.46,425.50,247.16,405.63,0.39,0.26,0.36,0.35,15.480901210277178,1.3369961853628045,,28.965541485364316,-32.63,35.48,-1.86
6,BFIT,33.50,29.96,3.27,7034.99,-,10.24,9.87,1.76,1.30,0.03,0.03,0.0,,0.35,,0.03,20.00 : 1.00,0.0,,0.02,0.02,0.02,0.02,0.48,0.49,0.65,1.12,11.103860176765169,4.2538483366905,,,2.38,31.85,80.88
7,CGH,1.25,23.14,0.88,5421.13,-,1.42,1.39,0.31,0.21,0.65,0.62,0.0,,0.046,,0.02774,,0.035,,1144.64,1471.72,1480.78,1236.65,0.15,0.02,0.09,0.05,3.850189001361336,0.42366286023603544,,27.550528506425554,N/A,550.18,-40.12
8,CNS,2.66,12.03,1.03,5720.25,-,2.59,2.55,0.67,0.66,0.95,0.76,0.0,,0.18,,0.18,,0.21,,384.25,1463.36,437.96,280.29,0.20,0.19,0.19,0.22,8.59715742649452,1.307773437079607,,25.565276306520907,-2.18,-0.91,15.35
9,ECL,2.26,19.47,1.81,2506.02,-,1.49,1.47,0.97,0.58,0.29,0.33,0.0,,0.0,,0.05,,0.04,,7.47,6.22,6.19,48.56,0.09,0.08,0.03,0.15,10.358966517650561,1.9509621443107832,,,-9.16,-49.71,414.28
10,FNS,4.50,8.40,0.49,1111.68,-,9.23,9.01,0.42,0.86,0.28,0.23,0.3,,0.1,,0.1,,0.0,,127.51,200.06,82.55,98.35,0.23,2.28,0.53,0.54,5.926038736495083,0.5757211538461539,,,897.40,-76.78,1.24
11,FSS,2.68,8.81,0.60,1558.16,-,4.46,4.35,0.38,0.72,0.20,0.42,0.0,,0.13,,0.13,,0.06,,996.06,383.75,705.91,140.52,0.42,0.25,0.40,0.30,6.943335210582188,1.2938977485567176,,10.547149789557771,-40.01,67.81,-23.52
12,GBX,0.71,484.68,0.56,773.24,-,1.27,1.27,0.69,0.88,N/A,2.16,0.0,,0.02,,0.03,,0.0,,584.93,385.22,417.17,262.57,0.03,0.01,0.04,0.00,0.11464315526624083,1.1447457160054242,,0.0030442813555271596,-65.41,247.02,-96.09
13,GL,7.20,N/A,1.96,10983.87,-,3.67,3.60,1.56,4.18,N/A,N/A,0.0625,,0.156,,0.274,,0.0,,357.45,1044.89,2551.22,3079.90,0.11,0.49,0.70,-1.19,-25.96525041402547,1.545732458599545,,,408.17,82.51,N/A
14,IFS,3.12,10.17,1.21,1539.72,-,2.58,2.50,0.64,1.17,0.50,0.31,0.0,,0.1383,,0.1,20.00 : 1.00,0.152,,172.57,227.23,253.36,305.29,0.29,0.25,0.29,0.31,12.422278730210811,2.2452158748114632,,,-14.48,15.84,10.68
15,JMT,31.75,32.81,5.59,12996.51,-,6.12,5.45,1.80,1.04,0.73,0.48,0.0,,0.16,,0.93,,0.46,,27.89,44.19,111.04,513.44,0.40,0.27,0.78,1.06,18.59311341832041,1.256971443316704,,,-21.53,206.84,36.41
16,KCAR,14.90,10.94,1.85,3725.00,-,8.06,7.72,0.45,0.37,0.78,0.69,0.21,,0.54,,1.23,,0.55,,47.51,57.84,162.18,248.28,0.85,0.81,1.32,1.36,17.038484733980123,1.4822807374708897,,,-4.81,62.51,2.98
