,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AYUD,44.50,24.03,1.45,11125.00,-,30.78,30.43,-0.17,-0.05,0.41,1.02,1.0,,2.0,,1.75,,0.0,,1368.95,1065.25,1417.05,1401.89,7.45,2.71,2.46,1.85,6.282593899270304,0.4368374673120214,,,-63.64,-9.12,-24.75
1,BKI,360.00,15.95,1.09,38329.20,-,330.10,349.36,0.10,0.21,0.62,0.64,8.25,,12.75,,14.0,,5.0,,304.42,306.70,412.48,399.58,21.66,22.00,22.78,22.57,7.0266934525667475,0.7101160207412398,,,1.59,3.56,-0.94
2,BLA,36.25,17.03,1.60,61899.27,-,22.69,21.10,0.58,0.56,0.25,0.33,0.78,,0.64,,0.75,,0.0,,5707.56,7101.76,13109.07,3975.79,1.57,2.41,3.00,2.13,10.088161348865864,6.966561517940227,,6.459836653854404,54.34,24.39,-28.86
3,BUI,13.47,-,-,-,-,23.42,23.26,-,-,-,-,0.0,,1.0,2.00 : 1.00,0.0,,0.5,,84.39,60.59,126.06,79.09,3.03,1.03,0.26,1.17,5.132760253408015,1.9242484627647463,,,-66.06,-62.07,348.75
4,CHARAN,36.50,32.95,0.73,438.00,-,50.17,49.69,0.18,0.20,0.90,1.12,0.0,,2.0,,1.5,,1.0,,19.88,13.42,17.95,39.55,3.60,3.00,2.12,1.11,2.222482357269474,0.3412175068515904,,,66.58,-29.09,-47.87
5,INSURE,42.00,45.89,1.88,420.00,-,22.34,20.67,1.20,0.16,N/A,N/A,0.0,,0.0,,0.0,,0.0,,42.14,36.48,48.14,76.67,-3.23,8.07,0.75,0.92,4.172652028182503,3.714688633209473,,,N/A,-90.77,22.85
6,MTI,132.00,12.59,1.45,7788.00,-,90.81,89.75,0.15,0.11,0.41,0.43,0.0,,6.3,,4.3,,4.3,,373.25,449.58,339.10,433.94,14.50,15.72,10.73,10.48,11.992859823124517,2.744087382246935,,,8.43,-31.75,-2.33
7,NKI,60.00,18.44,0.94,1980.00,-,63.89,66.80,0.03,-0.15,0.45,0.21,0.0,,2.0,32.00 : 1.00,1.0,,1.5,33.00 : 1.00,,594.79,225.89,110.46,7.60,1.55,1.03,3.35,5.1330106162628075,1.377509873781313,,,-78.90,-31.52,225.23
8,NSI,79.25,9.33,0.83,1101.58,-,95.11,93.57,0.09,0.01,0.59,0.44,0.0,,11.5,,4.65,,1.75,,111.25,77.15,94.73,66.39,11.72,10.33,6.50,8.49,9.19527692181833,1.7826205352415243,,,-11.83,-37.14,30.70
9,SMK,43.00,9.54,1.45,8600.00,-,29.56,28.14,0.13,0.13,0.45,0.43,0.0,,17.28,,1.798,,2.03,,373.83,344.41,401.88,304.32,48.67,44.32,4.19,4.51,16.348828185909227,1.4498923479975714,,,-8.94,-5.44,7.58
10,THRE,1.71,N/A,1.48,7207.64,-,1.15,1.12,0.70,1.04,N/A,N/A,0.0,,0.1,,0.1,,0.05,,1321.31,798.70,833.69,394.50,-0.52,0.63,0.07,-0.03,-2.1822486880002825,1.5471209191358544,,,N/A,-89.54,N/A
11,THREL,10.10,13.91,3.93,6060.00,-,2.57,2.44,0.65,1.02,0.69,0.59,0.2,,0.5,,0.4,,0.0,,79.79,73.86,181.91,212.09,0.62,0.65,0.54,0.73,30.504677085083742,0.5530431627641792,,19.622308395598854,4.56,-17.22,35.41
12,TIC,33.00,10.19,1.13,775.48,-,29.18,27.97,0.19,0.40,0.31,0.21,0.0,,0.29,,0.7,,1.0,,108.14,62.15,140.95,162.05,1.99,0.72,1.72,3.24,11.805970496713664,3.8871957887983206,,,-63.57,137.36,88.37
13,TIP,25.25,9.15,2.01,7575.00,-,12.59,24.20,0.61,0.99,0.50,0.52,0.5,,2.75,,2.75,,2.0,1.00 : 1.00,3513.41,773.32,947.18,2450.80,4.49,4.95,5.23,5.52,23.42483153505372,5.55165705946928,,,10.22,5.47,5.64
14,TSI,0.60,N/A,3.21,631.34,-,0.19,0.16,0.29,1.36,N/A,N/A,0.0,,0.0,,0.0,,0.0,,25.68,138.32,56.73,115.12,-2.58,0.02,-0.22,-0.13,-51.5990805008146,7.63836285888821,,,N/A,N/A,N/A
15,TVI,3.52,32.56,0.92,1066.56,-,3.84,3.84,0.44,0.55,0.65,0.28,0.0,,0.0,,0.1,,0.0,,143.70,326.83,228.89,240.64,1.18,0.07,0.08,0.11,2.8872975652748702,3.4678578481458264,,,-87.53,12.42,30.54
