,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AH,36.00,9.85,1.64,11613.02,9.49,22.02,20.82,0.93,1.02,0.33,0.23,0.1,,0.53,,0.93,,0.6,,313.66,338.20,271.64,440.88,1.14,0.97,1.70,3.66,17.787615310800394,1.0814639990243833,6.32440631832101,6.7577617851171725,-14.69,73.47,113.15
1,APCS,5.90,26.25,2.95,3894.00,13.92,2.00,1.97,0.69,0.37,N/A,N/A,0.0,,0.0,,0.0,,0.0,,92.95,246.98,141.73,319.93,-0.21,-0.02,0.08,0.22,11.796555726938795,0.3038313015824941,22.614692466958292,11.527554405674818,N/A,N/A,166.85
2,BAT-3K,214.00,N/A,2.73,4280.00,-38.36,78.46,78.12,-0.13,0.05,N/A,N/A,0.0,,3.0,,3.0,,0.0,,240.89,99.47,165.36,176.74,10.26,11.00,7.83,-17.44,-19.77106767053701,1.1947807800152943,14.910625216504108,-6.5486373358521615,7.18,-28.83,N/A
3,CWT,3.56,41.71,1.71,2203.81,23.43,2.09,2.13,1.56,1.52,0.39,0.28,0.0,,0.045,,0.0329,,0.0,,10.95,213.11,38.06,86.19,0.08,0.11,0.08,0.09,4.368895908966863,1.6910831475978207,16.69136009297991,2.667912332087668,44.01,0.67,21.18
4,EASON,3.50,22.72,1.65,1983.68,14.41,2.12,2.20,0.18,0.40,0.65,0.26,0.0,,0.04,30.00 : 1.00,0.05,,0.1,,142.13,105.67,160.20,107.93,0.23,0.25,0.28,0.18,7.886214481546891,0.16805678349208467,43.66344300970699,14.378180740155146,8.51,24.36,-1.48
5,GYT,412.00,22.09,0.76,3048.80,10.93,541.63,528.84,0.17,0.36,1.07,0.96,20.0,,20.0,,20.0,,0.0,,1127.22,1268.17,1011.23,192.88,32.05,52.09,37.77,18.65,3.437379384190146,0.41614043666902023,19.321752564176272,3.4428748154355717,62.53,-27.49,-50.61
6,HFT,3.86,9.94,0.93,2541.56,5.29,4.15,4.09,0.18,0.66,0.52,0.20,0.0,,0.0,,0.0,,0.0,,532.33,490.37,937.99,845.81,0.44,0.63,0.51,0.39,9.665753590393606,0.15782652153378074,21.384474551446363,9.270305649936724,42.30,-18.37,-24.31
7,IHL,9.00,17.14,3.38,4959.08,12.73,2.88,2.79,1.13,0.97,0.87,0.31,0.4,,0.11852,6.00 : 1.00,0.33,,0.0,,7.51,31.88,56.26,4.74,0.46,0.48,0.39,0.58,21.11045455540236,1.0765169526742102,22.304965371522478,13.355116507677185,4.17,-5.21,51.29
8,INGRS,0.98,14.50,0.81,1418.00,7.47,1.20,1.20,0.65,0.52,0.77,-,0.0,,0.0,,0.0,,0.052,,,,418.54,288.17,,,0.14,0.07,6.1368363918162965,1.1089519613074235,22.18255221564615,3.2791502373863364,,,N/A
9,IRC,20.40,10.92,1.16,4080.00,6.50,17.61,17.08,0.18,0.06,0.45,0.40,0.0,,0.883,,1.0273,,0.8476,,,205.98,227.97,406.23,,2.21,2.57,2.12,12.807831155074217,0.3555564010336946,14.65130901258845,7.94883962584428,,16.33,-17.49
10,PCSGH,7.00,16.64,2.09,10815.00,8.71,3.34,3.24,0.22,0.21,0.67,0.59,0.4,,0.24,,0.28,,0.0,,797.56,749.52,1061.98,1497.92,0.49,0.35,0.25,0.42,12.852532987900847,0.08757915551754172,19.609570537776225,16.09923826973032,-24.47,-29.47,67.88
11,SAT,21.70,11.37,1.44,9226.71,6.03,15.10,14.43,0.51,0.54,0.47,0.36,0.2,,0.59,,0.66,,0.65,,975.36,1000.01,1071.29,1884.62,1.53,1.51,1.43,1.91,13.183573674130544,0.4909680263303411,15.489769841805515,9.120784852508486,-1.28,-5.30,33.52
12,SPG,17.50,14.13,1.26,6037.50,9.76,13.93,13.65,0.48,0.34,0.65,0.59,0.35,,0.7,,0.8,,0.45,,311.00,237.56,256.12,196.57,1.28,1.41,1.64,1.24,9.03355616753356,0.07637536412817311,28.587156733924925,12.641934119498252,10.06,15.64,-24.23
13,STANLY,228.00,12.17,1.25,17470.50,5.98,182.82,178.06,0.23,0.04,0.27,0.29,4.8,,5.0,,5.0,,0.0,,,2350.31,1839.89,1085.64,,15.11,17.01,16.58,9.83209300940098,0.13824178426981115,17.574921994049767,11.082467258943234,,12.59,-2.51
14,TKT,1.76,N/A,0.85,376.64,42.04,2.08,1.61,0.44,0.78,N/A,N/A,0.0,,0.06,,0.0,,0.0,,8.84,35.23,23.03,12.51,0.09,0.06,-0.32,-0.24,-12.447408305547135,1.460061668654768,9.308547829248512,-4.749962984897838,-36.26,N/A,N/A
