,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,ALLA,1.86,19.39,1.44,1116.00,10.97,1.29,1.26,1.11,1.37,0.73,0.21,0.0,,0.0,,0.02,,0.0,,,101.52,178.13,270.47,,0.22,0.12,0.10,7.647942165344388,0.22711938607334156,29.915448902790683,9.267907755733058,,N/A,-2.48
1,ASEFA,5.75,12.48,2.10,3162.50,10.42,2.74,2.63,0.56,0.67,0.69,0.63,0.0,,0.2,,0.32,,0.0,,53.81,53.34,77.80,125.56,34.18,0.45,0.52,0.46,17.24095696905365,0.5589044912145714,23.36322135414813,8.992791712065985,N/A,39.41,-12.09
2,CPT,2.08,13.30,1.72,1872.00,10.90,1.21,N/A,0.67,-,0.90,-,0.0,,0.0,,0.0,,0.14,,,,99.69,222.23,,,0.36,0.22,17.891337241089932,0.4009620956392969,25.999304269037538,11.354081772627875,,,N/A
3,CRANE,3.06,76.15,1.88,2316.60,9.58,1.63,1.63,0.59,0.48,N/A,N/A,0.0,,0.0,,0.0,,0.0,,17.28,10.53,5.33,21.40,0.38,-0.06,-0.40,0.04,2.627725876880418,1.3781379863423169,19.90668337149522,2.5721460762511943,N/A,N/A,N/A
4,CTW,8.60,12.18,0.81,3421.99,10.82,10.65,10.58,0.97,1.12,0.50,0.47,0.0,,0.2,,0.35,,0.35,,1391.72,749.55,642.35,492.73,0.28,-0.25,0.71,0.71,6.735792904152969,0.4850232861005337,8.450344199230612,3.5146419440539143,N/A,N/A,-0.29
5,FMT,26.00,8.99,0.84,1248.00,10.42,30.77,30.20,0.42,0.21,0.52,0.62,1.0,,1.25,,2.0,,1.5,,10.57,7.47,121.49,9.08,1.73,2.30,3.66,2.89,9.534211945414764,1.0572337688714375,6.5399581447854045,2.2350768081190022,33.14,58.66,-20.90
6,HTECH,7.40,14.97,2.25,2220.00,8.09,3.29,3.21,1.24,0.83,0.42,0.31,0.045,,0.12,,0.22,,0.0,,90.29,130.65,264.93,137.85,0.26,0.24,0.45,0.49,15.569635536144547,0.4984792570663855,41.0484599177285,14.767680388759436,-6.74,86.48,25.80
7,KKC,1.78,N/A,0.96,2136.00,15.29,1.85,1.96,0.52,0.47,N/A,N/A,0.0,,0.15,,0.1,,0.05,,249.26,173.03,316.89,225.68,0.06,0.19,0.05,-0.14,-7.2531311273738,2.2789767646675565,2.705984837935605,-1.8070991012101028,269.87,-70.19,N/A
8,PK,5.30,11.01,1.64,2197.42,9.96,3.24,3.14,0.42,0.78,0.21,0.15,0.0,,0.0,,0.08,,0.12,,414.52,387.24,596.22,257.65,0.56,0.27,0.20,0.57,15.378698511707576,1.3939253477985807,25.232643416767225,4.960686890000439,-51.15,-24.89,182.51
9,SNC,15.40,11.04,1.67,4431.77,7.87,9.21,8.80,0.45,0.63,0.65,0.72,0.5,,0.9,,0.8,,0.5,,348.95,378.19,404.85,505.39,1.31,1.42,1.40,1.38,15.533458227534528,0.7640219342575691,11.785760312274551,5.287128869402081,8.61,-2.00,-0.08
10,TCJ,7.60,23.92,0.52,786.80,8.57,14.51,14.57,0.28,0.08,0.08,N/A,0.05,40.00 : 1.00,0.0,,0.0,,0.0,,133.23,32.48,69.08,64.70,0.80,0.57,-0.03,0.34,2.335680376094961,0.8628836255401886,19.838308888165965,2.2293921872987683,-27.21,N/A,N/A
11,VARO,8.00,68.36,0.75,799.22,13.35,10.71,10.67,-0.09,0.06,1.71,3.39,0.0,,0.0,,0.12,,0.0,,13.20,5.19,0.64,4.64,0.03,-0.28,0.18,0.12,1.092804225385029,0.7684511677480881,6.346991930271405,0.7401544890464733,N/A,N/A,-36.66
