,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,GC,5.10,11.39,2.29,1020.00,12.92,2.22,2.09,0.32,0.68,0.89,1.08,0.15,,0.42,,0.38,,0.22,,36.25,42.71,42.33,34.38,0.24,0.40,0.46,0.45,20.4446068300926,1.7931996042097686,6.6358148893360145,2.393376711559745,66.57,16.71,-3.27
1,GGC,13.90,27.31,1.28,14228.97,13.00,10.82,10.59,1.39,1.25,0.69,-,0.0,,0.0,,0.15,,0.2,,,,527.72,2422.23,,,1.27,0.56,5.48469320609345,0.31261480441932665,6.437480388879211,2.65225898193456,,,N/A
2,GIFT,5.20,16.82,2.61,1777.01,11.97,1.99,1.92,1.43,1.86,0.39,0.37,0.0,,0.07,,0.135,,0.0,,162.02,212.47,299.44,298.28,0.25,0.30,0.35,0.33,17.052111744105353,0.3817617281770558,25.02172721316736,13.811042559866152,19.34,17.29,-0.07
3,IVL,60.25,15.61,2.79,326051.95,13.54,22.32,20.71,1.78,2.09,0.25,0.23,0.43,,0.54,,0.81,,0.0,,5419.58,3232.48,4025.65,6877.05,0.28,1.20,3.15,3.98,20.263109748864515,1.3956037694667724,15.87095998645211,7.169645953828175,344.95,145.07,28.93
4,PATO,15.50,11.33,3.58,2206.77,8.84,4.33,4.07,0.35,0.49,0.90,0.66,0.0,,0.7,,0.92,,1.23,,22.37,29.50,56.46,46.83,0.92,0.71,0.96,1.37,33.34389314611071,0.1713019336612927,36.377780338826796,22.16152235272694,-22.71,37.53,41.83
5,PMTA,17.80,9.39,1.15,1801.36,6.36,15.48,15.95,0.12,0.60,0.53,0.49,0.0,,1.12,,1.17,,1.0,,259.81,297.22,473.47,307.15,0.59,2.36,2.74,1.89,11.780788253002795,0.2808269452937009,18.49263336686285,6.665114080335914,N/A,18.90,-30.78
6,PTTGC,98.00,11.24,1.61,441867.21,8.05,60.96,58.90,1.51,1.27,0.49,0.30,1.5,,2.35,,3.55,,2.5,,15415.57,11482.80,31143.38,43429.39,3.33,4.55,5.74,8.79,15.08904059082316,0.5628114657372955,13.104530759233338,8.754735279059274,36.36,24.87,53.50
7,SUTHA,4.86,20.60,2.51,1458.00,10.52,1.94,1.88,0.21,0.50,1.06,0.82,0.15,,0.38,,0.24,,0.1,,55.88,46.30,96.78,50.34,0.45,0.32,0.23,0.24,12.21486006142803,0.6924428519749876,28.181628827327643,7.696573019048449,-24.31,-29.70,4.11
8,TCB,55.25,5.49,1.03,16575.00,4.95,53.43,51.52,0.94,0.83,0.08,0.08,0.6,,0.6,,0.8,,0.0,,,1062.82,2382.51,3128.38,,3.31,3.09,7.64,17.280401585841986,0.33547965925392303,29.514493760044445,34.72364632666877,,-6.67,147.25
9,TCCC,38.75,11.73,2.34,22657.67,7.47,16.54,16.31,0.08,0.10,0.61,0.81,0.0,,1.5,,3.2,,2.0,,5159.65,4661.75,6091.85,4679.93,3.35,2.33,3.94,3.30,20.00016559855598,0.14859639545751552,25.99685263721618,16.582427295272588,-30.26,68.93,-16.18
10,TPA,6.85,13.25,1.37,832.28,8.80,5.02,4.88,0.19,0.29,1.55,N/A,0.2,,0.4,,1.0,,0.0,,97.10,186.02,238.59,314.53,0.26,0.51,0.57,0.52,9.835655032086397,0.6055416112997687,6.460039849457609,4.9273521363098185,97.78,11.61,-9.40
11,UP,28.25,24.21,1.27,706.25,10.46,22.20,22.33,-0.57,-0.06,1.04,0.85,0.0,,1.11,,0.0,,2.55,,122.29,105.15,135.32,139.44,1.90,1.13,1.34,1.17,5.236466776171113,0.2556182306403071,8.115159960862218,4.035806192755749,-40.24,18.39,-13.03
12,VNT,25.25,13.31,1.67,29926.13,7.33,15.08,14.47,1.23,1.24,0.47,0.23,0.1,,0.4,,0.45,,0.0,,2149.10,2504.74,3207.23,5212.89,-0.81,0.48,0.95,1.90,13.212840667009477,0.11253157139795045,20.56422147528835,11.587090124331636,N/A,98.53,100.08
13,WG,150.00,19.39,1.53,2677.50,13.61,98.26,96.45,-0.04,-0.05,0.58,0.57,0.0,,5.0,,5.0,,4.5,,73.71,125.94,449.34,175.73,10.20,9.80,10.13,7.74,7.9849909228616704,0.10880583825080532,25.328447339847997,12.108008591592514,-3.88,3.34,-23.64
14,YCI,13.20,-,-,-,-,17.11,17.02,-,-,-,-,0.0,,0.0,,0.0,,0.0,,0.86,0.65,0.14,0.38,-4.53,-1.58,-4.39,-1.79,-9.927169094363519,0.554015695441643,11.328733585577556,-22.696832579185518,N/A,N/A,N/A
