,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AJ,13.00,11.71,1.48,5192.71,11.13,8.79,8.60,0.96,1.14,0.59,0.19,0.0,,0.005,,0.56,,0.3,,1.77,6.70,3.92,3.01,-0.62,0.01,0.30,1.11,13.036620662385214,1.4346679501163364,11.156922237309729,5.627811113480146,N/A,3098.94,265.72
1,ALUCON,240.00,13.23,1.97,10368.00,7.40,122.02,118.00,0.25,0.14,0.61,0.75,10.0,,10.0,,15.0,,0.0,,50.62,200.03,241.78,201.91,17.38,17.94,24.76,18.14,15.073227490840555,0.20371231106920554,18.69845111484969,12.478068569354269,3.24,38.03,-26.74
2,CSC,47.00,9.94,0.80,2444.00,-,58.48,58.04,0.29,0.33,0.31,0.48,0.0,,1.75,,2.5,,1.5,,,454.75,498.77,274.84,6.31,6.22,7.16,4.80,8.782645694653965,0.20243213941670277,14.80689593086065,8.849457184160547,-1.37,15.12,-32.94
3,NEP,0.43,N/A,1.50,999.91,-223.23,0.36,0.35,0.44,1.06,N/A,N/A,0.0,,0.0,,0.0,,0.0,,15.75,8.68,87.31,56.00,-0.15,-0.08,-,-0.02,-4.4746749437509745,0.13551206081283296,4.880344562024005,-7.8426779113956995,N/A,N/A,N/A
4,NPP,1.47,N/A,2.12,1824.11,-7.12,0.69,0.88,0.71,1.16,N/A,N/A,0.0,,0.0,,0.0,,0.0,,38.23,122.14,25.73,66.34,-0.20,-0.16,-0.15,-0.30,-40.1351410357174,0.5553299374586635,18.998310997190657,-30.64938312770924,N/A,N/A,N/A
5,PTL,16.70,13.85,1.46,15030.00,9.19,11.45,11.31,1.32,1.34,0.30,0.33,0.1,,0.0,,0.54,,0.0,,,964.39,1076.44,730.69,,0.49,-0.15,1.55,15.324156215863388,0.49082621614473954,19.129825875044638,11.454017028960296,,N/A,N/A
6,SITHAI,1.49,95.23,0.94,4037.76,9.68,1.58,1.61,0.33,0.52,3.20,2.65,0.1,,0.1,,0.1,,0.0,,472.96,620.97,271.53,290.40,0.17,0.16,0.09,0.02,0.943845636717376,1.440153099162477,14.77474918762686,0.43758798201761084,-5.33,-42.43,-83.45
7,SLP,1.01,23.38,1.25,1212.00,9.89,0.81,0.81,0.82,1.08,0.93,1.15,0.0,,0.045,,0.06,,0.0,,14.74,18.68,56.90,63.10,0.14,0.03,0.06,0.04,5.2842110627022345,0.041576979721309616,28.705004213652234,10.224807730230724,N/A,147.02,-28.21
8,SMPC,13.50,13.51,4.70,7181.83,11.13,2.87,2.59,0.50,0.58,0.60,0.68,0.12,,0.62,,0.59,,0.35,,16.55,58.64,94.81,118.92,5.89,0.85,1.02,1.00,37.66601735434744,0.6010176652561495,22.51756494406952,11.786231996489066,62.05,21.02,-1.74
9,SPACK,2.10,N/A,1.41,630.00,19.20,1.49,1.52,0.90,0.65,N/A,N/A,0.016,,0.012,,0.019,,0.028,,29.01,31.40,17.69,45.28,-0.30,-0.12,-0.12,-0.06,-3.825225991472843,1.8596671967033214,10.170609488368425,-1.7181591991066354,N/A,N/A,N/A
10,TCOAT,26.75,16.88,0.57,280.88,13.19,47.16,47.04,0.26,0.46,0.41,0.40,0.0,,0.75,,0.8,,0.65,,18.25,19.85,1.39,1.38,-0.38,2.56,4.26,1.58,3.3884154474276347,0.18617096468022376,10.887091000214788,2.378978068795928,N/A,66.32,-62.76
11,TFI,0.44,N/A,2.28,900.90,39.99,0.19,0.24,0.66,1.72,N/A,N/A,0.0,,0.0,,0.0,,0.0,,7.32,5.55,72.69,56.37,-0.10,0.01,-0.06,-0.13,-50.60906067605255,4.106372214211631,8.359317438330727,-15.165944834399806,N/A,N/A,N/A
12,THIP,37.00,10.69,1.96,2960.00,7.82,18.84,17.72,0.25,0.54,0.36,0.42,5.25,,10.5,,14.18,,0.0,,204.62,312.41,149.78,354.12,15.00,30.18,40.50,3.46,19.429810100386536,0.30152884500537486,19.725136999325805,9.40366816734231,101.13,34.21,-14.52
13,TMD,20.90,11.05,1.28,3135.00,8.40,16.30,15.79,0.03,0.07,0.63,0.65,0.0,,1.1,,1.2,,1.2,,103.61,87.89,56.22,101.22,1.79,1.96,2.09,1.89,11.87000336681326,0.11121518262505625,20.701148562420244,13.910209282948585,9.40,6.48,-9.29
14,TOPP,226.00,11.46,1.15,1356.00,7.00,197.21,194.35,-0.02,-0.30,0.30,0.27,0.0,,4.65,,5.15,,0.0,,36.82,118.13,121.65,44.74,16.37,16.05,18.23,19.71,10.337308436862276,0.1956628298091713,15.327667971609532,7.436327857309015,-1.91,13.55,8.14
15,TPBI,11.90,26.78,1.86,4760.00,13.86,6.38,6.29,0.79,0.81,0.90,1.85,0.0,,0.54,,0.6,,0.0,,,117.38,454.86,482.27,,1.28,1.04,0.44,6.871769495142403,0.5910478048474734,10.531557457641824,3.715587700411798,,N/A,-54.78
16,TPP,19.90,44.64,0.92,746.25,22.39,21.57,21.41,0.25,0.59,0.76,0.89,0.0,,0.0,,0.0,,0.0,,63.62,99.06,56.04,73.22,0.73,0.38,0.32,0.45,2.074184344374147,0.1562256592856348,24.171659127032648,6.2251014557504005,-47.58,-17.47,41.10
