,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AMC,2.72,8.68,0.68,1305.86,10.24,4.01,3.90,0.21,0.96,0.38,0.67,0.0,,0.0,,0.2,,0.0,,120.88,33.19,24.36,57.24,-0.04,-0.50,0.73,0.31,7.920370048782027,0.9915198718881933,6.1453131694872845,2.9334778210677923,N/A,N/A,-56.91
1,BSBM,1.26,10.82,0.74,1426.95,5.78,1.71,1.69,0.56,1.13,0.94,1.11,0.0,,0.08,,0.12,,0.05,,118.60,121.80,67.34,346.93,0.01,-0.08,0.24,0.12,6.79346356413459,0.03755762031947696,8.331723068863486,5.549127597537835,N/A,N/A,-50.80
2,CEN,1.38,N/A,0.42,1028.30,-38.57,3.32,3.47,-0.01,0.24,N/A,N/A,0.05,,0.0,,0.0,,0.0,,263.72,682.20,661.20,184.55,0.19,-0.27,-0.17,-0.21,-6.3721263198997775,0.8640162711425786,6.746445649732006,-6.142204622532394,N/A,N/A,N/A
3,CITY,2.76,27.25,0.63,828.00,1.68,4.41,4.44,0.40,0.86,0.69,0.36,0.0,,0.0,,0.0,,0.0,,,581.62,566.89,698.87,,0.46,0.23,0.19,4.28455545284763,0.008416677878937375,29.615779632897066,14.58890030832477,,-50.90,-16.25
4,CSP,1.56,N/A,1.26,774.02,-514.68,1.24,1.21,0.24,0.48,N/A,N/A,0.0,,0.0,,0.1,,0.0,,3.89,25.40,9.29,6.84,0.28,-0.36,0.23,-0.12,-9.473597986432248,2.3245534264371552,9.21263965866877,-2.2318906685847613,N/A,N/A,N/A
5,GJS,0.38,5.34,0.38,5292.69,4.45,1.01,1.00,1.50,2.22,N/A,N/A,0.0,,0.0,,0.0,,0.0,,208.45,157.11,610.14,578.12,-0.00,-0.14,-0.00,0.09,7.619130416050543,0.3908002220071725,5.683598562662158,6.088500994123788,N/A,N/A,N/A
6,GSTEL,0.13,N/A,0.45,890.52,9.29,0.29,0.45,0.38,1.32,N/A,N/A,0.0,,0.0,,0.0,,0.0,,247.87,159.33,623.20,590.83,-0.05,-0.47,-0.15,-0.06,-18.812979053285165,10.025665717210831,2.8544663329829394,-1.3489861378173345,N/A,N/A,N/A
7,INOX,1.17,28.86,1.00,9120.98,13.63,1.17,1.15,0.62,2.69,0.66,0.98,0.0,,0.0135,,0.0495,,0.0266,,537.72,1303.24,1386.71,910.36,0.03,0.02,0.08,0.04,3.45948762236572,0.4250217955102898,6.622228540779468,2.0278507066616367,-45.42,391.34,-46.34
8,LHK,5.00,9.04,1.35,1915.00,5.62,3.70,3.76,0.64,0.90,0.61,0.65,0.2,,0.28,,0.4,,0.0,,,134.81,177.64,237.45,,0.36,0.26,0.46,12.793832062838758,0.462991480764612,13.320124256989462,5.470132075062505,,-28.98,80.73
9,MAX,0.02,N/A,0.41,597.01,64.35,0.05,0.05,2.00,-0.75,N/A,N/A,0.0,,0.0,,0.0,,0.0,,59.56,27.91,47.60,27.92,-0.00,-0.00,0.00,-0.00,-3.530712193705069,0.2234468664850136,5.370578569575362,-6.997793200498928,N/A,N/A,N/A
