,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,CCP,0.44,N/A,0.92,1217.93,16.78,0.48,0.48,0.63,0.86,N/A,N/A,0.0,,0.0,,0.0,,0.0,,59.32,33.28,31.61,21.97,0.29,0.02,0.00,-0.01,-1.6659210813328849,1.149821631878558,7.689546728652492,-0.9530819701257662,-65.43,-77.96,N/A
1,DCC,2.98,17.42,5.52,19453.42,12.88,0.54,0.54,0.23,0.50,0.75,0.88,0.098,,0.18025,,0.141,,0.023,,206.84,217.12,81.52,94.57,0.30,0.21,0.22,0.17,32.58955145488287,0.9407453003866348,38.67611907866145,15.107823165139475,11.88,3.59,-21.44
2,DCON,0.61,14.22,1.44,3174.36,9.64,0.47,0.46,0.56,0.61,1.05,0.18,0.0,,0.04,,0.008,,0.045,,144.53,101.53,83.14,103.53,1.60,0.08,0.03,0.05,10.957391737426919,0.11406195567097531,35.16537747690723,20.40068699640058,-46.41,-21.60,61.65
3,DRT,5.70,14.51,2.99,5973.36,9.00,2.10,2.02,0.55,0.87,0.87,0.71,0.12,,0.0,,0.61,,0.18,,13.52,28.42,20.59,23.83,0.28,0.32,0.39,0.43,21.16121668898754,0.5127274368140545,27.345347663582775,9.836140006260948,14.41,18.44,5.00
4,EPG,7.00,19.00,1.97,19600.00,12.70,3.55,3.59,1.36,0.94,0.68,0.59,0.08,,0.3,,0.25,,0.0,,,300.19,279.00,368.94,,0.27,0.50,0.49,14.446145485566458,0.288678455212774,32.02322460576113,14.417196488041172,,124.66,-2.30
5,GEL,0.35,N/A,0.39,1889.26,-75.75,0.89,0.90,0.42,0.63,N/A,N/A,0.0,,0.0,,0.0,,0.0,,496.79,85.62,58.52,29.76,0.04,0.02,0.02,-0.02,-2.1854831689816825,0.2827476666866848,8.819440898284796,-5.894057872996887,-36.08,-29.21,N/A
6,PPP,4.46,13.60,1.41,1338.00,9.24,3.17,3.07,0.53,0.96,0.73,1.03,0.24,,0.18,,0.34,,0.16,,33.26,15.97,21.83,14.42,0.55,0.46,0.52,0.33,10.30175482682079,0.8747347856227549,35.87476520309932,7.177455829357611,-16.60,13.09,-36.47
7,Q-CON,6.30,461.12,1.41,2520.00,14.16,4.48,4.49,0.48,1.11,2.20,N/A,0.0,,0.14,,0.0,,0.03,,105.04,21.19,17.77,123.00,0.32,0.02,-0.27,0.01,0.3049231688553933,0.12728763090100037,11.037277717824805,0.31889915544289604,-94.37,N/A,N/A
8,RCI,2.28,N/A,5.11,1054.80,-6.07,0.45,0.49,0.78,0.79,N/A,N/A,0.0,,0.0,,0.0,,0.0,,8.15,8.09,43.29,3.22,0.01,-0.18,-0.07,-0.55,-54.02566844919786,1.7214036448235752,-34.10919993687865,-47.45861440462992,N/A,N/A,N/A
9,SCC,468.00,10.20,2.15,561600.00,7.99,217.58,210.22,0.77,0.77,0.41,0.41,7.5,,17.0,,19.0,,10.5,,19030.72,16077.80,27709.35,43936.64,28.01,37.83,46.74,45.87,21.967267838012162,1.0401748281303422,22.534776601666362,11.40870773471883,35.06,23.53,-1.86
10,SCCC,246.00,40.32,2.13,73308.00,16.15,115.65,119.44,0.44,0.58,1.64,1.51,8.0,,15.0,,13.0,,4.0,,2757.34,2328.90,3529.78,1706.85,22.10,19.91,17.02,6.59,6.4236384070764565,1.3210144387163383,33.1091787563615,4.131025097980942,-9.90,-14.52,-53.55
11,SCP,8.10,10.43,1.35,2430.00,7.40,6.00,5.89,0.39,0.86,0.52,0.42,0.0,,0.4,,0.35,,0.4,,174.09,244.77,137.37,203.12,1.11,0.98,0.89,0.78,13.283989758737292,0.20657845746897768,30.572368586282245,14.432989690721651,-11.78,-8.95,-12.67
12,SKN,6.10,21.60,2.14,4880.00,11.68,2.85,2.76,1.07,1.31,0.38,-,0.0,,0.0,,0.0,,0.1074,,,,193.75,725.73,,,0.44,0.35,14.990546323017217,0.14077527138009893,32.306611754940455,14.250756811301718,,,N/A
13,TASCO,18.10,11.16,2.21,28314.93,8.41,8.19,8.04,0.98,1.16,0.74,0.49,0.5,,0.7,,0.9,,0.9,,276.99,1353.52,1333.23,1025.41,7.85,3.30,2.01,1.63,20.333129903992837,0.5142930351480628,12.308808849719737,8.754016252712006,323.08,-38.76,-18.42
14,TCMC,3.08,11.48,1.03,2350.62,11.51,2.99,2.93,0.88,0.96,0.15,0.36,0.0,,0.12,,0.12,,0.04,,33.58,199.01,371.84,469.53,0.25,0.33,0.41,0.39,11.141906722842213,2.703836263355953,26.081437103783113,2.6558919904407596,34.81,49.47,16.77
15,TGCI,2.66,23.79,1.30,4515.67,10.57,2.05,2.04,0.70,0.73,0.72,0.69,0.0,,0.08,,0.08,,0.08,,83.54,14.90,47.37,316.59,0.16,0.17,0.12,0.11,5.488574506076007,0.10879154624795874,18.86845775861283,8.228103257689057,2.85,-30.17,-4.51
16,TOA,38.25,45.39,9.20,77609.25,32.33,4.16,N/A,1.31,-,0.17,-,0.0,,0.0,,0.0,,0.0,,,,1713.37,1816.19,,,2808.66,1.03,37.0077146749805,0.6733910487736949,34.14354517518466,10.80516627877659,,,N/A
17,TPIPL,1.89,N/A,0.84,38159.10,28.08,2.24,2.26,0.82,0.60,N/A,N/A,0.0,,0.02,,0.02,,0.02,,1002.04,1695.18,3465.60,2918.98,0.07,0.02,-0.03,-0.06,-2.520714393838663,1.138335952758551,15.790135913518643,-4.061650524722018,-72.70,N/A,N/A
18,UMI,1.57,N/A,0.91,1313.31,13.72,1.73,1.77,0.65,0.88,N/A,N/A,0.0,,0.16,,0.085,,0.0,,42.06,215.70,202.96,75.16,0.04,-0.23,0.13,-0.03,-1.6808006215841098,1.2442218157632192,22.195897976340365,-1.0013055346757922,N/A,N/A,N/A
19,VNG,9.00,13.98,1.64,14103.06,9.78,5.50,5.41,0.38,0.52,0.70,0.61,0.18,,0.47,,0.45,,0.3,,692.30,523.57,457.06,332.18,0.48,0.91,1.02,0.64,11.924917536125413,0.7777230712062798,24.040946497541242,8.138861324232963,89.64,11.57,-36.61
20,WIIK,2.66,11.05,1.06,997.34,9.71,2.51,2.48,0.70,0.74,0.46,0.77,0.0,,0.11,,0.2,,0.0,,35.34,71.30,130.09,127.02,-0.02,0.28,0.37,0.24,9.670645209677074,0.8362345639652278,20.046131089178406,7.447563410729904,N/A,60.54,-32.52
