,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,BJCHI,2.40,N/A,0.96,3840.00,-6.77,2.51,2.63,0.57,0.68,N/A,N/A,0.25,4.00 : 1.00,0.625,,0.125,,0.0,,265.24,697.53,806.32,1244.46,3.14,0.83,0.07,-0.33,-11.967961766123633,0.05257619106854087,-13.187339515453084,-34.63145369207378,31.54,-91.49,N/A
1,CK,24.00,22.46,1.73,40653.52,20.56,13.87,13.06,0.87,0.96,0.47,0.44,0.6,,0.65,,0.5,,0.0,,5265.07,4666.96,11406.17,6689.09,1.36,1.29,1.18,1.07,8.050417574186856,2.3588887441231496,7.891197821105861,4.694787336386916,-4.51,-8.68,-9.61
2,CNT,2.38,25.90,1.28,2446.41,17.52,1.86,1.78,0.65,0.81,1.07,0.69,0.0,,0.05,,0.1,,0.05,,422.28,134.99,427.86,123.08,-0.35,0.02,0.14,0.09,5.082967458677686,2.029593507845733,4.620516693902861,1.189266763600657,N/A,505.86,-32.75
3,EMC,0.19,N/A,0.98,1602.41,-4.45,0.19,0.19,-0.68,-0.73,N/A,N/A,0.0,,0.0,,0.0,,0.0,,108.74,1075.54,199.40,29.48,-0.09,-0.07,-0.03,-0.08,-34.26275776144829,0.8671613212063188,11.639513364278999,-94.84100730564042,N/A,N/A,N/A
4,ITD,3.08,39.41,1.23,16261.91,14.85,2.50,2.49,1.18,1.12,N/A,0.12,0.0,,0.0,,0.01026,,0.0,,2292.11,2501.74,2588.43,3434.05,0.11,-0.07,-0.02,0.08,3.1502428813213843,5.5237962741034385,11.929891493640863,0.735042250901903,N/A,N/A,N/A
5,NWR,0.83,N/A,0.62,2145.95,24.27,1.34,1.40,1.40,1.08,N/A,N/A,0.0,,0.0,,0.0,,0.0,,683.86,641.32,656.54,598.78,0.00,-0.07,0.02,-0.08,-5.651389440392345,2.5078193750251634,6.624871974556626,-2.17017715819255,N/A,N/A,N/A
6,PAE,0.07,-,-,-,-,-0.18,-0.16,-,-,-,-,0.0,,0.0,,0.0,,0.0,,265.83,84.66,39.52,47.62,-0.68,-0.14,-0.09,-0.05,33.163672882477805,-2.3535448491970232,3.051334210841211,-33.7060406421082,N/A,N/A,N/A
7,PLE,1.20,1.47,0.71,1634.18,4.76,1.70,0.80,0.87,0.78,0.06,N/A,0.0,,0.0,,0.0,,0.0,,253.27,379.20,333.83,2008.80,0.04,-1.72,0.17,0.89,69.28478753955339,2.9050156441770816,9.915975020200984,13.210985879061358,N/A,N/A,482.57
8,PREB,12.20,5.35,1.77,3765.85,7.10,6.89,6.58,0.53,0.43,0.79,0.34,0.6,,0.5,,2.0,,0.0,,381.13,544.02,707.49,449.10,0.99,0.98,2.55,2.28,33.77483125786103,1.0336192948790308,13.828657029569166,14.575245182327812,-0.93,160.05,-10.73
9,PYLON,13.90,51.47,6.88,5211.62,32.92,2.02,1.96,0.76,0.90,0.74,1.30,0.0,,0.78,,0.35,,0.05,,221.69,114.00,110.86,110.84,0.70,0.54,0.46,0.27,13.07981451102471,0.21925783157978113,23.350005588465407,14.039125431530497,3.25,-14.71,-41.20
10,SEAFCO,8.95,25.95,4.67,5471.40,16.50,1.92,1.81,1.08,1.03,0.36,0.40,0.1,,0.26,,0.3,,0.0,,26.83,44.99,39.44,260.76,0.72,0.50,0.51,0.34,18.935846379713645,1.0840231434862009,18.541006687785995,11.056757111023725,-27.19,1.85,35.12
11,SQ,3.46,10.91,1.52,3926.65,9.51,2.28,2.26,1.69,1.44,0.39,0.11,0.0,,0.0,,0.05,,0.1222,,,82.34,920.86,344.80,,0.12,0.39,0.32,14.912669452739616,2.9720851757039797,26.37835849529264,11.30213957459632,,N/A,11.57
12,SRICHA,16.90,N/A,3.03,5236.96,142.69,5.58,5.55,0.71,1.24,N/A,N/A,1.0,,0.5,,0.4,,0.0,,860.14,726.82,576.18,542.26,2.78,1.10,0.31,-0.15,-2.542976299460889,0.13980820618413595,14.556601083547188,-3.601828560748246,-60.22,-71.33,N/A
13,STEC,17.50,N/A,2.90,26689.36,-164.63,6.04,6.92,0.96,1.27,N/A,0.24,0.0,,0.33,,0.22,,0.0,,2133.80,1038.83,633.48,2363.03,1.00,1.00,0.91,-0.40,-6.243008516259591,2.572235581096566,-7.327074759176392,-2.8825544180480196,0.40,-9.55,N/A
14,STPI,4.46,N/A,0.96,7248.31,-4.12,4.65,4.75,1.07,1.31,N/A,N/A,0.0,,0.37,,0.39,,0.0,,602.21,926.07,1970.33,786.03,1.78,1.60,0.84,-1.54,-27.380323532783603,0.2657800577889248,-80.16173793679687,-215.4672283997514,-1.24,-47.36,N/A
15,SYNTEC,4.38,6.95,1.40,7008.00,6.80,3.14,3.00,1.06,1.29,0.27,0.26,0.08,,0.12,,0.15,,0.0,,389.00,644.32,548.65,436.37,0.25,0.40,0.54,0.63,21.76191185261436,0.8694796946735102,21.320986387691,11.012810291917392,61.41,35.95,15.86
16,TPOLY,3.10,10.03,1.25,1759.89,11.06,2.48,2.40,1.17,0.95,0.16,0.03,0.0,,0.0,,0.01153,,0.0,,1278.72,82.39,273.16,194.20,-0.61,-0.52,0.21,0.31,13.30132945039777,2.4713144517066086,23.98018648018648,5.035948500614454,N/A,N/A,44.81
17,TRC,0.76,48.07,1.60,4460.97,21.89,0.47,0.47,1.06,0.97,0.13,0.11,0.00347,4.00 : 1.00,0.01,8.00 : 1.00,0.004,7.00 : 1.00,0.0,,606.66,1289.43,109.03,336.37,0.26,0.07,0.06,0.02,3.376606835818452,0.6619567521349098,21.53510566930928,3.8091914858679368,42.36,-4.97,-68.09
18,TTCL,7.20,76.71,0.99,4032.00,42.66,7.29,8.41,1.90,1.38,N/A,1.49,0.23,,0.5,,0.22,,0.0,,1611.31,1571.59,2208.35,2235.90,0.82,0.75,0.71,0.09,1.1219861032543146,4.843252539208914,8.153833931106307,0.4780450359170443,-8.23,-5.31,-86.86
19,UNIQ,12.90,15.67,1.91,13945.11,12.34,6.75,6.51,1.20,1.18,0.40,0.39,0.0,,0.27,,0.33,,0.33,,627.47,326.49,754.93,268.54,0.59,0.66,0.82,0.82,12.67528213891559,2.7779547242421834,19.23422163898589,7.022339827946402,41.91,23.94,0.76
