,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AIMIRT,10.00,-,1.00,1550.00,-,10.00,,0.10,,N/A,,0.0,,0.0,,0.0,,0.0,,,,,135.63,,,,,,,,,,,
1,AMATAR,10.40,-,1.03,3722.06,-,10.11,10.13,0.12,-0.06,N/A,N/A,0.22,,0.815,,0.635,,0.16,,,175.78,70.44,78.80,,,,,,,,,,,
2,B-WORK,10.30,-,-,3798.64,-,N/A,,-,,N/A,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,
3,BKKCP,11.40,-,0.91,1140.00,-,12.49,12.29,0.13,0.12,N/A,N/A,0.472,,0.635,,0.685,,0.18,,5.75,9.07,13.96,7.90,,,,,,,,,,,
4,BOFFICE,13.10,-,-,6750.56,-,N/A,,0.15,,N/A,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,
5,CPNCG,14.60,-,1.32,6228.93,-,11.08,11.05,0.21,0.24,N/A,N/A,0.628,,0.9237,,0.9579,,0.2472,,70.00,70.32,104.15,123.35,,,,,,,,,,,
6,CPNREIT,22.60,-,1.70,50001.97,-,13.31,N/A,0.08,-,N/A,N/A,0.0,,0.0,,0.0,,0.0,,,,,1052.36,,,,,,,,,,,
7,CPTGF,12.80,-,1.24,12377.60,-,10.35,10.35,0.40,0.41,N/A,N/A,0.5909,,0.7781,,0.8073,,0.1855,,158.40,145.36,178.01,269.33,,,,,,,,,,,
8,CRYSTAL,10.70,-,1.00,4173.00,-,10.74,10.79,0.13,0.14,N/A,N/A,0.5858,,0.8038,,0.772,,0.1447,,32.46,48.55,69.53,63.30,,,,,,,,,,,
9,CTARAF,4.90,-,0.76,1568.00,-,6.46,7.29,0.27,0.32,N/A,N/A,0.309,,0.7335,,0.331,,0.0,,9.99,30.50,43.12,29.58,,,,,,,,,,,
10,DREIT,5.05,-,0.56,2067.47,-,8.96,N/A,-0.24,-,N/A,N/A,0.0,,0.0,,0.0,,0.0,,,,,164.76,,,,,,,,,,,
