,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,A,6.70,67.21,1.97,6566.00,34.31,3.41,3.42,0.16,0.06,0.40,0.46,0.0,,0.04,,0.05,,0.0,,220.89,305.81,321.47,291.72,0.04,0.22,0.27,0.10,2.935864185101594,3.044281193963724,33.40916929369694,1.9317433543796927,425.10,21.53,-62.90
1,AMATA,20.50,15.52,1.74,21873.50,14.56,11.77,11.59,1.99,1.90,0.40,0.26,0.22,,0.39,,0.5,,0.0,,1021.32,3152.22,1757.65,1274.50,2.08,1.14,1.12,1.32,11.504542877886513,1.1396034904058443,53.728249373782354,26.455732554014567,-45.32,-1.46,17.63
2,AMATAV,7.20,18.23,2.33,6732.00,14.74,3.09,3.12,0.73,0.64,0.08,1.55,0.0,,0.15,,0.05,,0.0,,372.79,1678.78,418.16,626.19,0.16,0.16,0.05,0.40,12.642777193985303,1.0319476973820971,62.72003792264146,31.54388781662596,N/A,-58.96,641.45
3,ANAN,3.92,9.84,1.05,13065.36,13.48,3.72,3.51,0.97,1.05,0.32,0.29,0.032,,0.108,,0.145,,0.0675,,2477.26,2573.39,2182.74,2063.40,0.39,0.36,0.42,0.34,11.476562655233156,1.3237614066109944,35.120423154143246,10.258174416377868,-7.26,24.43,-11.52
4,AP,8.40,8.37,1.22,26425.56,11.61,6.88,6.45,0.72,0.94,0.35,0.31,0.26,,0.3,,0.3,,0.0,,462.88,421.01,1086.82,1054.17,0.83,0.83,0.86,1.00,15.378002165126844,1.0307991444142899,35.6868296140904,13.815971141858002,0.30,3.02,16.82
5,APEX,0.27,N/A,1.53,809.96,-52.05,0.24,0.25,0.24,0.70,N/A,N/A,0.0,,0.0,,0.0,,0.0,,55.85,51.26,85.69,82.55,0.01,0.03,0.02,-0.04,-14.851543592467975,1.901534490583163,33.7636514719848,-32.80598052851182,106.63,-5.70,N/A
6,AQ,0.03,N/A,0.71,2559.44,-98.32,0.04,0.04,-1.35,-,N/A,N/A,0.0,,0.0,,0.0,,0.0,,955.95,74.66,78.14,828.67,-0.04,-0.17,-0.30,-0.00,-8.704774387214748,0.9311059952732628,15.46058285803579,-21.508507554290343,N/A,N/A,N/A
7,BLAND,1.87,34.46,0.72,34775.24,17.33,2.57,2.55,0.48,0.83,1.50,0.97,0.05,,0.07,,0.08,,0.0,,,1187.53,1976.93,3197.41,,0.06,0.18,0.10,3.85942301776206,0.19356586446608057,32.936354414492904,19.60388395640942,,186.10,-46.31
8,BROCK,2.56,755.10,2.14,2624.00,438.07,1.20,1.20,-0.03,0.34,N/A,N/A,0.0,,0.02,,0.0,,0.0,,18.34,36.10,27.12,9.27,0.01,0.01,0.01,0.00,0.2839124440129555,0.02665689030103059,36.81069731462039,3.618968386023295,-31.93,-33.95,-36.31
9,CGD,1.54,N/A,2.29,12729.84,246.93,0.67,0.66,0.82,0.84,N/A,N/A,0.0,,0.0,,0.0,,0.0,,534.73,1253.82,1058.52,425.11,0.01,-0.06,-0.04,-0.02,-2.5926308555412323,1.954666690646835,40.07968390583212,-13.02769853020837,N/A,N/A,N/A
10,CI,1.65,78.80,1.01,1468.05,34.83,1.63,1.50,0.11,0.46,1.43,0.61,0.07,,0.02,10.00 : 1.00,0.06,8.00 : 1.00,0.0,,307.38,301.18,701.71,282.43,-0.03,0.19,0.20,0.02,1.2810639087921005,3.6702207476648385,29.901831845937053,0.7799939710610931,N/A,20.68,-88.28
11,CPN,80.75,26.71,5.86,362406.00,19.81,13.77,13.27,1.00,1.19,0.46,0.28,0.65,,0.7,,0.83,,1.4,,2487.78,2577.73,2488.95,2418.14,1.63,1.76,2.06,3.02,23.83673581254496,0.9173602636331893,49.56347070923373,38.26614346405219,7.85,17.30,46.78
12,ESTAR,0.80,9.89,0.83,4017.80,12.67,0.96,0.95,0.60,0.59,0.68,0.53,0.0,,0.055,,0.04,,0.0,,49.60,65.57,80.10,137.77,0.06,0.03,0.04,0.08,8.615951977287242,0.21512841333164429,29.789610299582925,15.474820308391198,-52.55,52.55,100.52
13,EVER,0.40,N/A,0.62,1553.91,-40.23,0.65,0.67,0.66,1.21,N/A,N/A,0.0,,0.0,,0.0,,0.0,,332.63,74.83,150.42,173.59,-0.01,-0.03,-0.03,-0.07,-10.533551122147426,2.259454656301178,14.191307294755573,-38.44701146890163,N/A,N/A,N/A
14,GLAND,2.32,12.91,1.23,13807.36,16.26,1.88,1.77,0.23,0.66,0.56,0.70,0.05,,0.2,,0.1,,0.1,,1030.54,709.99,372.07,493.76,0.16,0.30,0.19,0.18,9.780729159762696,1.5319060599594103,62.43208261989187,37.4695309873361,104.09,-35.80,-3.81
15,GOLD,9.95,13.52,1.51,23121.01,14.42,6.57,6.31,1.40,1.50,0.42,0.49,0.05,,0.05,,0.23,,0.25,,,220.77,582.31,905.97,,0.40,0.46,0.47,7.608525895499728,1.1219988739699385,31.851250218816833,11.608365333791848,,58.18,29.67
16,GREEN,1.17,N/A,1.29,836.57,-12.41,0.91,0.95,0.54,0.20,N/A,N/A,0.0,,0.0,,0.0,,0.0,,6.27,169.56,222.58,213.06,-0.21,-0.28,-0.18,-0.08,-8.342744941721843,0.028732090586966567,13.086956521739138,-96.87982170409738,N/A,N/A,N/A
17,J,1.78,134.18,0.90,855.91,16.22,1.98,1.96,0.41,0.68,N/A,N/A,0.0,,0.07,,0.0,,0.0,,20.44,8.05,70.06,6.04,0.39,0.22,0.02,0.02,0.7601980327790719,1.6024805615890705,20.985393923541796,0.8413334739951471,N/A,-90.29,12.92
18,KC,1.00,-,-,-,-,1.03,1.03,-,0.01,-,N/A,0.02,,0.0,,0.0,,0.0,,39.35,7.15,27.84,33.26,0.01,0.03,-0.47,0.10,10.336717517404795,0.7155786037111479,15.612034658914508,10.280820878979851,118.34,N/A,N/A
19,KWG,2.48,46.87,1.51,3266.29,29.31,2.34,2.38,0.75,-0.07,N/A,N/A,0.0,,0.0,,0.0,,0.0,,27.63,38.21,54.49,475.39,-0.26,-0.31,0.28,0.09,5.866136927033136,1.195560879499015,27.999704462614517,10.823949677719966,N/A,N/A,14.68
20,LALIN,5.70,7.74,0.95,5272.50,10.35,5.97,5.75,0.64,0.41,0.41,0.19,0.09,,0.26,,0.1485,8.25 : 1.00,0.165,,22.89,58.53,45.00,49.67,0.53,0.43,0.61,0.74,12.977620880697119,0.7910673910170655,39.84007578290426,18.917619730363555,-18.32,40.86,36.08
21,LH,11.00,12.56,2.63,131446.84,13.08,4.19,3.94,0.97,1.03,0.86,0.73,0.25,,0.7,,0.7,,0.0,,6436.44,8956.75,2600.58,4783.01,0.80,0.69,0.73,0.88,21.573295860408063,1.1720932471439995,34.381948598589815,24.958369799266215,-5.97,8.81,21.41
22,LPN,10.00,13.89,1.19,14756.99,16.14,8.39,8.19,0.86,1.20,0.69,1.27,0.3,,0.9,,0.75,,0.35,,1047.35,758.24,591.21,356.46,1.37,1.64,1.47,0.72,8.56830601092896,0.6937629380362927,28.8925760830555,11.002636937424004,19.39,-9.83,-51.19
23,MBK,22.90,21.25,1.74,39112.28,13.27,13.14,12.34,1.02,0.80,0.65,0.60,0.3,,0.66,,0.66,,0.37,,571.92,746.93,532.72,475.95,1.19,1.36,1.54,1.38,9.106606686456145,1.1217904865726858,45.33029144993932,17.536764951048337,14.06,13.18,-10.40
24,MJD,3.32,N/A,0.75,2856.57,61.18,4.40,4.17,0.25,-0.16,N/A,N/A,0.0,,0.0,,0.0,,0.0,,757.67,286.90,750.65,716.72,0.77,0.14,0.48,-0.21,-4.74723447972339,4.187113274046362,38.33347450050349,-5.39178464524338,-81.15,231.29,N/A
25,MK,3.70,15.74,0.56,3670.44,16.64,6.61,6.46,0.26,0.47,0.94,1.02,0.0,,0.25,,0.0,,0.0,,45.81,293.24,80.34,103.57,0.52,0.71,0.35,0.24,3.549963549141693,1.1451003646296996,34.52471855115027,7.145329726716028,40.10,-44.03,-33.51
26,NCH,1.01,66.84,0.51,1257.74,27.73,2.00,1.99,0.32,0.11,N/A,N/A,0.0,,0.00556,20.00 : 1.00,0.0,,0.0,,12.02,29.70,13.24,21.95,0.10,0.10,0.02,0.02,0.759687325291089,0.914250363550178,33.43199358247351,1.2917307269931912,9.52,-83.41,-9.20
