,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,ABPIF,8.55,-,0.95,5130.00,-,8.95,9.11,0.06,0.16,N/A,N/A,0.2678,,0.5885,,0.8733,,0.616,,15.21,45.94,65.53,90.50,,,,,,,,,,,
1,AI,1.52,-,-,-,-,0.81,0.78,-,-,-,-,0.01111,5.00 : 2.00,0.0,,0.23,,0.05,,204.46,154.71,291.16,127.69,0.58,0.06,0.10,0.09,10.95054949761442,0.09637799444125823,8.431667155281929,7.393377537063758,-38.29,65.22,-12.99
2,AKR,1.07,32.44,1.20,1437.32,11.40,0.89,0.88,0.54,0.66,0.91,N/A,0.0,,0.12,,0.025,,0.0,,254.18,86.66,65.13,51.95,0.08,0.07,-0.05,0.03,3.704323103938456,0.675257088138557,20.007717652646264,2.557338059309461,-9.62,N/A,N/A
3,BAFS,38.75,25.45,3.97,24702.98,14.66,9.77,9.55,0.80,0.54,0.82,0.93,0.25,,1.35,,1.22,,0.0,,1037.45,1289.60,4148.23,1453.69,1.49,1.50,1.72,1.52,15.799587669813539,0.7776896676822516,55.15607417397545,26.66302218828035,26.39,14.56,-11.53
4,BANPU,19.40,12.68,1.17,100141.35,9.38,16.53,16.18,1.43,1.19,0.42,0.30,0.5,,0.75,,0.55,,0.35,,12887.67,14295.64,16300.97,22323.53,1.04,-0.59,0.46,1.55,9.623297124037121,1.9202054788097926,29.2373414261841,7.465253842575431,N/A,N/A,371.06
5,BCP,36.25,8.64,1.09,49913.46,8.31,33.15,30.93,1.15,1.01,0.51,0.45,1.0,,1.8,,2.05,,1.1,,7954.25,7871.87,19286.65,10105.88,0.52,3.01,3.47,4.20,13.565155291452674,1.357699347092475,7.867333835875168,3.293395306781736,483.31,15.00,21.05
6,BCPG,19.50,19.29,2.71,38890.37,17.28,7.21,7.07,1.75,1.21,0.60,0.78,0.0,,0.39,,0.75,,0.16,,,974.62,7361.16,2003.98,,33.32,1.10,1.01,14.460281115352686,1.2339445423031445,70.85099082612989,45.93266444310788,,N/A,30.81
7,BGRIM,27.50,33.71,3.84,71689.75,14.03,7.16,7.00,1.96,1.89,0.37,-,0.0,,0.0,,0.0,,0.3,,,,8322.13,18209.46,,,0.93,0.96,17.323133528092434,3.4040748931151406,21.408079110150567,6.66159226561044,,,N/A
8,BPP,24.70,18.14,1.93,75360.24,15.89,12.80,12.64,1.35,1.30,0.44,0.16,0.0,,0.0,,0.55,,0.3,,,1159.61,1152.78,1129.20,,2.46,1.74,1.36,10.907770069458884,0.20286041119532547,23.988983188145713,38.31666494510684,,N/A,0.40
9,BRRGIF,10.50,-,0.99,3675.00,-,10.59,10.43,0.11,0.34,N/A,N/A,0.0,,0.0,,0.0,,0.29,,,,,7.85,,,,,,,,,,,
