,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,BEAUTY,23.30,56.95,41.06,70012.80,44.00,0.57,0.43,0.88,1.31,1.00,0.65,0.69,,0.163,,0.288,,0.0,,174.56,119.01,216.87,505.86,1.00,0.13,0.22,0.41,81.26526632401792,0.3696603251307795,67.7395378898045,32.9102605632106,33.65,62.99,87.39
1,BIG,2.62,11.94,5.13,9245.66,9.94,0.51,0.44,1.10,1.08,0.59,0.60,0.0,,0.13,,0.07,,0.13,,76.92,261.79,323.86,206.28,0.05,0.13,0.24,0.22,50.25486614254982,0.7132499265525136,20.90570226113045,12.815111449421654,235.42,84.22,-8.50
2,BJC,59.75,45.84,2.24,238856.30,21.98,26.66,26.18,1.18,1.31,0.44,0.44,0.35,,0.61,,0.53,,0.0,,1488.07,1130.36,3485.93,4367.72,1.06,1.75,1.54,1.31,4.963932903893509,1.9141716203321038,19.07486850859666,3.173000039519706,66.22,43.32,30.23
3,COL,28.25,35.99,3.15,18080.00,22.27,8.97,17.51,0.93,0.32,0.51,0.39,0.0,,0.55,,0.55,,0.4,,744.60,1105.80,672.02,938.38,1.37,1.23,1.20,1.57,9.123645098742616,0.5338331595085082,25.82833515653023,4.112537631397747,-10.37,-2.38,30.69
4,COM7,18.80,37.06,9.82,22560.00,27.56,1.91,1.74,1.78,1.87,0.69,0.55,0.0,,0.15,,0.25,,0.0,,255.23,730.25,710.80,697.45,0.23,0.26,0.34,0.51,28.406776339274252,2.1239471931680183,13.535210792520221,2.6955463288861417,N/A,51.44,49.74
5,CPALL,87.00,39.26,10.37,781529.82,25.27,8.39,7.81,0.73,1.01,0.50,0.48,0.0,,0.9,,1.0,,1.1,,32204.38,21518.25,33443.17,28878.81,1.13,1.52,1.85,2.14,30.50310087965832,3.7177609735557837,22.303927598922137,4.067751899890325,34.75,21.88,19.38
6,CSS,2.44,14.07,1.74,2868.80,14.12,1.41,1.36,0.89,0.83,1.04,0.93,0.1112,5.00 : 1.00,0.16,,0.18,,0.0,,398.00,712.31,458.37,262.97,0.33,0.24,0.15,0.17,12.30106540860773,1.1429046636950302,15.43958296725824,4.569197914168996,5.60,-31.73,20.24
7,FN,3.92,45.47,2.63,3920.00,24.10,1.49,1.47,1.55,2.47,0.42,0.56,0.0,,0.0,,0.0,,0.0,,,42.39,89.90,124.61,,46.49,0.20,0.09,5.832231178522019,0.08819387631935412,44.49638275479534,7.828945576069089,,N/A,-41.09
8,FTE,2.88,13.23,2.33,1728.00,9.50,1.24,1.25,0.38,0.42,0.90,-,0.0,,0.0,,0.07,,0.126,,,,11.48,310.80,,,0.41,0.25,24.685176612849897,0.18565082783685555,26.608157155453483,13.240569957638284,,,N/A
9,GLOBAL,16.30,40.55,4.89,62615.05,26.61,3.34,3.38,1.44,1.43,0.44,0.38,0.0,,0.04556,20.00 : 1.00,0.16556,20.00 : 1.00,0.18463,24.00 : 1.00,282.54,297.43,169.00,346.97,0.23,0.25,0.41,0.42,10.867196277277435,1.1123340988867265,20.999286571791213,7.463606929786221,25.49,69.77,7.60
10,HMPRO,15.00,38.77,9.92,197267.97,23.16,1.51,1.30,1.16,1.29,0.80,0.76,0.1,,0.27,,0.28,,0.18,,,2698.06,3720.58,2504.91,,0.27,0.31,0.37,27.052558383132418,1.734097888948574,26.446826359463742,7.607112627499651,,17.90,18.45
11,IT,4.88,22.05,1.67,1397.63,14.36,2.93,2.89,0.64,0.61,0.81,0.35,0.0,,0.05,,0.04,,0.18,,173.58,86.60,179.68,233.77,-0.03,0.06,0.04,0.20,6.735173161323231,0.8103103103103103,11.138000295916148,1.2654942176218773,N/A,-31.25,312.58
12,KAMART,6.70,20.94,6.79,5895.99,16.19,0.99,0.97,0.65,0.82,0.82,0.68,0.24,,0.28,,0.28,3.00 : 1.00,0.0,,59.71,15.62,10.10,10.72,0.14,0.32,0.40,0.32,33.8269914480638,0.5502840614448529,55.50544138623277,18.15059002468372,127.45,25.84,6.75
13,LOXLEY,2.40,107.66,0.88,5435.89,32.34,2.74,2.79,0.75,1.18,3.14,4.93,0.0,,0.05,,0.07,,0.07,,1757.05,734.81,833.67,1099.93,0.16,0.09,0.08,0.02,0.8082622361921867,1.5997841266972999,13.35756692211044,0.3076482487996296,-40.45,-17.86,-70.72
14,MAKRO,48.25,37.49,13.19,231600.00,25.81,3.66,3.27,0.94,0.50,0.75,0.69,0.4,,0.81,,0.89,,0.56,,4564.23,2229.53,2550.13,4360.99,1.02,1.12,1.13,1.29,37.134467158957484,2.3338107470499194,11.54530290958277,3.308164397210834,10.10,0.63,14.15
15,MC,11.90,15.62,2.37,9520.00,11.82,5.03,4.77,0.82,0.61,0.98,0.98,0.75,,0.8,,0.95,,0.3,,154.40,496.19,487.32,553.50,0.89,0.92,1.05,0.76,14.890388600023455,0.2271352713303499,52.66632292001741,14.107039514803585,2.86,15.14,-27.70
16,MEGA,41.25,32.07,6.81,35691.51,26.21,6.06,5.64,1.40,1.38,0.54,0.40,0.0,,0.63,,0.24,,0.7,,340.63,515.68,565.86,477.67,0.63,0.80,0.92,1.29,22.426079386063908,0.6627024079201276,45.01508748239099,11.543784012564549,26.99,14.25,39.99
17,MIDA,0.58,29.92,0.38,1452.37,14.26,1.53,1.53,0.34,0.26,N/A,N/A,0.0,,0.0,,0.0,,0.0,,102.23,96.68,277.91,139.46,0.04,0.03,0.03,0.02,1.2709850657945554,1.4133368030707176,37.61582872757906,1.7765837911434335,-10.23,4.56,-38.57
18,ROBINS,65.75,26.64,4.43,73025.97,14.76,14.84,14.12,1.27,1.28,0.51,0.47,0.0,,1.0,,1.25,,1.25,,1833.26,2081.77,2219.02,1804.71,1.74,1.94,2.53,2.47,17.327939828714094,0.6086118509261,24.851791640613722,8.88378628154727,11.70,30.75,-2.61
19,RSP,6.40,21.80,2.64,4928.00,13.21,2.43,N/A,1.80,-,0.51,-,0.0,,0.0,,0.0,,0.15,,,,233.35,1110.94,,,122.70,0.42,17.862307102728412,0.08395403675562375,52.092520388878484,19.100003379634327,,,N/A
20,SINGER,9.20,N/A,1.57,2484.00,105.04,5.84,5.84,1.70,1.53,N/A,2.88,0.0,,0.3,,0.25,,0.0,,289.77,272.45,189.86,277.10,0.89,0.53,0.44,-0.04,-0.6092669756698971,1.2187705998681608,36.1723516580786,-0.41296262603610884,-40.71,-16.31,N/A
21,SPC,54.00,11.62,1.10,17820.00,12.47,49.09,46.47,0.09,0.34,0.32,0.28,1.0,,1.1,,1.8,,0.0,,1296.77,1325.52,3057.66,1823.89,3.79,4.25,4.16,4.65,10.292950470471814,0.5800614599010567,17.036140769410952,4.791694841195602,13.65,-1.85,11.65
22,SPI,70.50,11.00,1.41,34829.42,11.90,50.00,49.99,0.25,0.01,0.10,0.07,0.23,,0.33,,0.45,,0.0,,81.20,337.53,104.14,98.76,2.33,2.67,3.41,6.41,13.4455523653532,0.42107577187427503,17.57240863440195,47.006892946203536,14.52,27.73,88.14
