,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AHC,21.20,24.85,2.18,3178.08,13.81,9.71,9.42,0.10,0.28,0.52,0.78,0.65,,0.55,,0.63,,0.0,,166.87,199.85,192.83,466.58,1.21,1.07,1.22,0.85,8.849594269598768,0.20657615525659778,14.94857349596857,8.07255004703253,-11.82,13.94,-29.95
1,BCH,17.40,47.32,8.35,43391.21,24.42,2.08,1.98,0.75,0.86,0.54,0.51,0.12,,0.14,,0.18,,0.0,,469.42,675.29,512.57,485.53,0.21,0.21,0.30,0.37,18.423312704724957,1.3017893409565613,32.776531045472346,12.4566017027889,1.05,42.81,21.77
2,BDMS,22.50,34.12,5.53,348546.52,20.31,4.07,3.80,0.31,0.26,0.55,0.44,0.0,,0.36,,0.32,,0.23,,3594.34,5528.54,4216.83,5091.15,0.48,0.51,0.54,0.66,17.19969802110889,0.8998652316746788,33.305209745247275,13.243669232757707,7.09,5.92,21.81
3,BH,190.00,34.53,7.94,138462.76,22.72,23.92,21.34,0.91,0.97,0.49,0.47,0.9,,2.4,,2.55,,1.7,,,5054.16,5154.16,2470.44,,4.72,4.98,5.41,25.546447866206464,0.41329368055123705,42.77788871048478,21.283660719055934,,5.54,8.76
4,CHG,1.96,38.13,6.53,21560.00,23.56,0.30,0.30,1.14,1.37,0.70,0.69,0.024,,0.036,,0.036,,0.0,,678.46,439.78,441.36,414.00,0.44,0.05,0.05,0.05,17.586983939871327,0.4480459658650116,32.06288266392142,14.511782610704186,12.02,4.81,0.21
5,CMR,3.28,29.96,3.68,13195.85,17.95,0.89,0.86,0.32,0.09,0.43,0.44,0.0,,4.16,,0.046,,0.047,,178.59,241.09,188.54,348.26,9.62,12.45,0.10,0.11,12.39999324373779,0.9858858514744394,31.82482842535569,11.52395154749758,29.43,-22.59,13.62
6,EKH,5.50,39.36,4.07,3300.00,25.18,1.35,1.32,0.49,0.60,0.86,0.76,0.0,,0.0,,0.1,,0.12,,,18.14,139.68,70.16,,2.24,0.15,0.14,10.490158046875978,0.09516821231254934,35.17725343225363,15.49595179119376,,N/A,11.37
7,KDH,90.50,N/A,4.10,1754.27,35.70,22.10,22.11,0.38,0.13,N/A,N/A,0.0,,0.0,,0.0,,0.0,,32.48,47.93,54.59,69.09,-1.68,-2.25,-1.26,-1.15,-5.051654303008237,0.39289382762162667,28.245787908820613,-3.2381341346013595,N/A,N/A,N/A
8,LPH,6.90,26.36,3.23,5175.00,17.81,2.11,2.11,0.38,0.55,0.77,0.94,0.0,,0.15,,0.3,,0.1,,2.14,589.34,120.06,208.64,0.18,0.17,0.21,0.26,12.166424484748816,0.32205535197807694,25.238298677013365,12.713081690879873,N/A,55.21,24.33
9,M-CHAI,190.00,18.94,2.18,3040.00,13.65,87.35,85.94,0.60,0.42,0.41,0.57,0.0,,4.2,,4.4,,4.1,,18.52,30.92,80.00,946.33,7.43,10.56,10.91,10.10,11.653742267142981,1.6377459621365207,22.355965669406807,6.8908667035896904,42.19,3.28,-7.27
