,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AMARIN,5.95,N/A,1.52,5939.78,16.62,3.91,3.89,0.40,0.40,N/A,N/A,0.0,,0.0,,0.0,,0.0,,215.09,209.67,176.16,1327.69,-0.40,-1.89,-2.86,-0.30,-7.019526993322586,0.43016000779275376,17.514409812330978,-7.327942642332569,N/A,N/A,N/A
1,AQUA,0.49,4.54,0.60,2250.57,5.97,0.82,0.76,0.49,0.63,0.09,0.18,0.0174,,0.03,,0.01,,0.01,,172.28,1340.64,659.49,266.55,0.08,0.06,0.05,0.11,14.074802580197273,0.7920132660636966,53.924632048493415,35.27603581397035,0.33,-17.04,105.68
2,AS,1.77,57.40,5.59,725.48,9.47,0.32,0.26,0.73,0.82,N/A,N/A,0.0,,0.0,,0.0,,0.0,,153.05,121.19,223.86,135.15,-1.27,-1.55,-0.70,0.03,10.442828816920027,2.207273848050547,42.94194382277966,1.484910071308577,N/A,N/A,N/A
3,BEC,10.40,340.92,3.25,20800.00,6.97,3.20,3.37,1.29,1.83,3.28,3.68,1.7,,1.15,,0.25,,0.0,,1993.01,1122.54,1299.53,1193.39,2.21,1.49,0.61,0.03,0.9185396409098675,1.2179671501272664,16.838831460348327,0.5434676101855861,-32.44,-59.15,-94.99
4,EPCO,3.14,12.67,1.24,2625.14,14.03,2.52,2.41,0.53,0.73,0.44,0.89,0.14,,0.12,25.00 : 1.00,0.07,20.00 : 1.00 25.00 : 1.00,0.0,,49.38,38.93,439.46,159.06,0.35,0.34,0.16,0.26,10.346566791510611,2.847452081298191,28.178631263286825,17.87862314150854,11.48,-51.96,74.48
5,FE,217.00,13.41,1.39,1627.50,11.38,156.30,146.95,0.12,0.29,0.62,0.48,5.0,,6.0,,7.0,,0.0,,271.99,156.43,122.62,292.33,8.90,13.61,14.10,16.19,10.939942957299078,0.4128064697752981,46.22204257612504,14.526396400708371,52.98,3.55,14.81
6,GPI,3.02,12.93,2.44,1812.00,9.27,1.24,N/A,1.41,-,N/A,-,0.0,,0.0,,0.0,,0.0,,,,60.27,413.99,,,0.24,0.28,24.629901336308762,0.46230674879702394,40.46900309232807,17.009683760891196,,,N/A
7,GRAMMY,9.00,N/A,7.77,7379.55,8.96,1.16,0.66,0.40,0.95,N/A,N/A,0.0,,0.0,,0.0,,0.0,,960.27,1058.81,868.82,744.05,-3.51,-1.40,-0.63,-0.47,-34.12595858810573,2.799197759622673,21.51290764881746,-4.332487341122775,N/A,N/A,N/A
8,MACO,1.96,30.52,4.73,6740.26,19.85,0.41,0.35,0.59,0.99,0.55,0.63,0.018,,0.048,,0.029,,0.018,,148.65,149.29,312.50,195.47,0.04,0.06,0.03,0.07,17.38343355476498,0.3625554706505051,58.19672131147541,22.88443804333185,27.86,-40.23,116.53
9,MAJOR,29.25,21.93,4.08,26169.02,11.17,7.17,7.16,0.70,0.72,0.94,0.89,0.55,,1.2,,1.25,,0.6,,577.25,312.06,530.87,573.03,1.22,1.31,1.33,1.33,18.288119021274376,1.1396106680387617,33.591518133311645,12.008501166294003,7.79,1.48,0.43
10,MATCH,1.90,N/A,0.94,1485.09,48.61,2.03,2.06,-0.07,0.30,N/A,N/A,0.055,,0.0,,0.0,,0.0,,316.77,211.62,157.48,22.75,0.06,-0.09,-0.12,-0.11,-5.188925180044873,0.14163333795939997,23.36254766842846,-16.917441656430952,N/A,N/A,N/A
11,MATI,7.70,15.90,0.97,1427.19,12.53,7.95,7.51,0.19,-0.07,0.31,N/A,0.25,,0.0,,0.0,,0.0,,81.07,206.70,171.29,93.80,-0.27,-0.56,-0.34,0.48,6.2593903055444216,0.2110948271182761,30.965163510437872,8.661675606838266,N/A,N/A,N/A
12,MCOT,10.30,N/A,1.76,7077.12,-5.51,5.87,9.00,0.96,1.13,N/A,N/A,0.06,,0.02,,0.0,,0.0,,900.65,441.27,446.19,566.76,0.73,0.08,-1.07,-3.70,-47.958371375321626,0.7306961302936767,-74.72998123883487,-92.90686838787481,-88.53,N/A,N/A
13,MONO,3.98,237.48,5.04,13814.70,13.82,0.81,0.88,1.54,1.29,3.54,N/A,0.0,,0.0,,0.06,,0.0,,598.07,194.29,86.81,129.83,0.01,-0.16,-0.08,0.02,2.2790136419554776,1.0942381618191974,27.478476827739488,2.2584064199774043,N/A,N/A,N/A
14,MPIC,1.60,N/A,3.79,2080.19,27.00,0.42,0.50,0.48,0.15,N/A,N/A,0.0,,0.0,,0.0,,0.0,,82.97,89.72,133.23,73.55,-0.21,-0.08,-0.06,-0.12,-24.814643557568118,0.2803546073469982,37.1489864957782,-42.55906803762853,N/A,N/A,N/A
15,NMG,0.38,N/A,2.79,1545.78,-2.88,0.14,0.14,0.32,0.57,N/A,N/A,0.028,,0.03,,0.0,,0.0,,,652.87,207.53,233.69,,0.02,0.01,-0.27,-33.520716219029765,1.5175284805168643,4.621458097921695,-50.51668697380837,,-44.80,N/A
16,PLANB,5.90,45.22,5.83,20824.68,20.72,1.01,0.97,0.85,1.06,0.34,0.29,0.0,,0.07,,0.035,,0.045,,60.63,428.59,343.68,441.56,0.08,0.12,0.10,0.13,13.733030156185933,0.15735880012655,33.99193967845962,15.26730716952108,N/A,-12.15,30.98
17,POST,2.84,N/A,3.99,1420.00,-23.46,0.71,1.10,0.75,0.12,N/A,N/A,0.0,,0.0,,0.0,,0.0,,101.70,79.30,69.57,12.09,-0.34,-0.50,-0.43,-0.72,-66.65861678215154,5.095817298238714,12.963102352958888,-26.248299269966203,N/A,N/A,N/A
18,PRAKIT,13.60,14.15,0.90,822.12,13.40,15.07,14.95,0.33,0.28,0.83,0.09,0.0,,1.0,,0.1,10.00 : 1.00,0.0,,89.78,85.10,97.48,129.09,0.83,2.15,0.98,0.96,6.602047657466223,0.4255340168163158,13.285935085007733,11.229657118558894,151.90,-53.16,6.33
19,RS,27.50,79.88,19.03,27779.05,28.40,1.44,1.32,1.41,1.07,N/A,N/A,0.0,,0.1,,0.0,,0.0,,381.54,757.11,103.76,230.82,0.38,0.12,-0.10,0.34,27.21456632559205,2.0095427634640304,38.78738205661283,9.276698447380669,-67.21,N/A,N/A
20,SE-ED,3.38,N/A,1.15,1324.77,22.99,2.95,2.23,0.02,0.25,N/A,N/A,0.0,,0.12,,0.01,,0.0,,102.63,131.67,159.06,145.86,0.21,0.18,0.03,-0.07,-2.5214494900687265,1.294763264952826,34.2675614050747,-0.6817482465541208,-12.79,-82.55,N/A
21,SMM,0.85,N/A,0.97,274.70,74.59,0.87,0.98,1.03,1.22,N/A,N/A,0.0,,0.0,,0.0,,0.0,,6.86,2.43,14.64,11.28,-0.03,-0.13,-0.49,-0.24,-24.460699808973583,2.44572764630863,18.135021865889215,-17.474370922646784,N/A,N/A,N/A
22,SPORT,0.57,N/A,2.94,260.13,-21.28,0.19,0.01,0.71,0.47,N/A,N/A,0.0,,0.0,,0.0,,0.0,,37.81,33.83,15.19,50.52,-0.40,-0.09,-0.96,-0.51,-132.4350273133587,14.593170511080958,19.78894659116471,-17.647837365662554,N/A,N/A,N/A
23,TBSP,16.70,18.32,2.85,1837.00,10.99,5.85,5.71,-0.24,-0.45,0.77,0.84,0.0,,7.25,,0.675,,0.55,,93.63,149.89,131.36,29.53,8.50,5.36,7.75,0.91,15.842647813894706,0.5593638862573963,23.994509368577393,7.450278233865036,-36.98,44.68,17.58
24,TH,0.61,N/A,0.80,588.67,67.21,1.14,1.14,0.46,0.30,N/A,N/A,0.0,,0.0,,0.0,,0.0,,3.12,8.06,10.40,16.12,0.03,-0.05,-0.08,-0.01,-0.9476106673886557,0.04116863462950041,34.63641334062329,-16.388325269236777,N/A,N/A,N/A
25,TKS,10.30,12.90,2.36,4328.13,10.71,5.09,4.86,1.08,1.16,0.72,0.69,0.1,,0.55,,0.65,,0.52,,88.48,213.61,76.21,47.21,0.86,0.79,0.93,0.93,18.841409666896855,0.2597268843454379,23.018829263295007,20.388709324649444,1.72,17.95,-0.30
26,TRITN,0.34,N/A,3.06,2731.42,145.66,0.11,0.11,1.77,1.45,N/A,N/A,0.0,,0.0,,0.0,,0.0,,122.28,617.39,350.14,214.74,-0.01,0.00,-0.04,-0.00,-4.230041908042093,1.0486707337549672,4.678747940691926,-4.0020623872132,N/A,N/A,N/A
27,VGI,7.70,74.12,12.78,55545.22,39.71,0.60,0.31,0.61,0.92,0.55,0.59,0.025,,0.11,,0.06,,0.036,,,187.04,112.15,798.81,,0.12,0.14,0.12,40.32891686796965,2.628962567075405,58.420805982768734,24.60783496313589,,12.29,-12.13
28,WAVE,3.16,N/A,1.76,1478.72,236.49,1.99,2.19,0.26,-0.11,N/A,N/A,0.0,,0.0,,0.0,,0.0,,151.24,159.52,263.38,203.68,2.35,0.11,0.14,-0.64,-27.341787630368213,2.257110149178979,28.710062023039505,-10.758922664228749,-52.22,56.78,N/A
29,WORK,62.00,30.26,6.17,27359.99,15.99,10.11,8.96,0.48,0.54,0.66,0.13,0.19,,0.15,,0.758,,0.9,,914.62,1070.91,834.95,1334.61,0.08,0.39,0.48,2.14,24.38497452509326,0.45194829207357085,54.801297858533424,23.31631205673759,686.11,21.37,355.16
