,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,AAV,5.85,19.20,1.29,28372.50,13.42,4.54,4.59,0.49,0.64,0.49,0.70,0.1,,0.15,,0.15,,0.0,,4789.06,6122.81,4661.35,5337.96,0.04,0.22,0.39,0.30,6.828155761569817,1.4232768696366607,13.64494054808641,3.962977625855902,488.75,73.34,-20.97
1,AOT,71.25,46.65,7.40,1017856.12,30.74,9.63,9.20,1.06,1.19,0.56,0.59,1.54,,5.0,,6.83,,0.86,,,3086.20,5886.26,9317.75,,13.11,13.70,1.45,16.370204891116718,0.3556292708918088,,36.45055262848566,,4.50,5.68
2,ASIMAR,2.94,9.31,1.58,759.38,6.53,1.86,1.78,0.93,0.88,0.63,0.40,0.0,,0.2,,0.12,,0.2,,41.64,79.34,36.90,60.69,0.16,0.35,0.19,0.32,17.786160504998744,0.5220120557056744,35.734945334644536,11.565947310211836,122.31,-46.36,68.62
3,B,0.85,N/A,2.11,741.00,-41.01,0.60,0.63,0.79,1.28,N/A,N/A,0.0,,0.0,,0.0,,0.0,,1.35,30.34,7.08,22.95,-0.07,-0.01,-0.01,-0.01,-14.801824846391185,0.4602455630572886,-5.420470151062277,-44.67526265520535,N/A,N/A,N/A
4,BA,15.20,40.51,1.13,31920.00,13.11,13.48,13.47,0.48,0.42,0.80,N/A,0.25,,0.7,,0.5,,0.3,,2175.13,4627.98,3051.36,3544.89,0.21,0.86,0.84,0.38,2.616524609348602,1.0439006196438108,11.388725106792617,2.688268530017878,411.77,-1.58,-55.45
5,BEM,7.75,37.93,3.81,118458.75,20.42,2.03,1.98,0.62,0.76,0.64,0.57,0.0,,0.12,,0.12,,0.07,,4373.77,4483.38,777.00,2627.06,0.18,0.17,0.17,0.20,10.28065209473146,2.1803681451568777,65.64065033461071,19.767709022320822,N/A,-1.66,19.85
6,BTS,8.95,44.44,2.57,106008.54,29.39,3.48,3.48,0.45,0.46,1.69,2.05,0.3,,0.68,,0.34,,0.165,,,10322.45,2364.65,15094.51,,0.25,0.35,0.17,4.573923944257157,1.1500011388689324,43.98554077730187,19.253548752278782,,40.66,-51.62
7,BTSGIF,12.00,-,1.04,69456.00,-,11.50,11.54,0.09,0.21,N/A,N/A,0.485,,0.722,,0.79,,0.203,,,108.08,64.07,55.52,,,,,,,,,,,
8,III,7.15,33.34,3.88,4322.18,19.62,1.84,1.81,1.06,0.73,0.51,-,0.0,,0.0,,0.0,,0.11,,,,226.21,746.46,,,41.60,0.26,17.804879723670023,0.39516946340325926,23.16076650527114,5.571768103733565,,,N/A
9,JUTHA,2.16,N/A,1.17,298.61,-92.23,1.84,2.62,0.95,1.05,N/A,N/A,0.0,,0.0,,0.0,,0.0,,11.19,13.11,11.96,1.53,-0.22,-0.26,-0.85,-1.52,-54.956823013727394,5.281366914799245,-6.004670654851416,-61.55519623695429,N/A,N/A,N/A
