,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,CCET,2.08,9.85,0.51,9473.66,12.11,4.09,4.09,-0.08,0.58,0.47,0.36,0.07,,0.12,,0.1,,0.0,,1808.74,3923.92,3839.02,3854.39,0.25,0.34,0.26,0.21,5.266636730044685,2.223013053098653,5.5427472837649265,0.8947258593198417,45.80,-24.35,-17.70
1,DELTA,67.25,17.01,2.58,83886.41,10.93,26.02,25.10,0.42,0.84,0.56,0.73,0.0,,3.1,,3.0,,2.2,,,20487.95,19685.36,17319.88,,5.38,4.42,3.95,15.32555594215799,0.421472468997507,25.465624827478695,9.797266688601823,,-17.84,-10.61
2,EIC,0.07,N/A,0.40,221.89,-3.06,0.17,0.22,0.38,0.97,N/A,N/A,0.0,,0.0,,0.0,,0.0,,32.15,180.37,145.99,120.16,-0.77,-0.35,-0.20,-0.10,-30.41276448144295,0.47239430496685153,30.631336205021103,-54.40105890138981,N/A,N/A,N/A
3,HANA,34.75,9.69,1.35,27969.54,6.56,25.71,25.95,1.06,1.09,0.56,0.56,1.0,,2.0,,2.0,,1.0,,5467.22,6104.14,6347.59,4756.54,4.23,2.57,2.62,3.59,14.207200496708127,0.17947034975553264,14.915414048441692,12.78706048118913,-39.32,1.89,37.16
4,KCE,68.25,15.73,3.56,40021.58,12.35,19.15,18.14,1.01,1.18,0.51,0.47,0.5,,2.0,,2.2,,1.1,,463.02,673.48,891.81,1139.70,3.89,3.93,5.23,4.34,23.983313005562962,0.5856382178152572,25.18095637956212,17.525408225956202,6.18,35.65,-16.26
5,METCO,200.00,22.79,0.69,4179.62,5.71,287.82,286.19,0.06,0.36,0.91,0.65,0.0,,18.0,,14.0,,8.0,,,1641.66,2159.74,2471.48,,35.44,23.65,12.33,4.294399279960999,0.3410278789337989,4.379654395682895,1.8071824366977622,,-33.27,-47.87
6,SMT,3.20,N/A,2.19,2676.72,-44.64,1.46,1.88,1.75,1.27,N/A,N/A,0.0,,0.0,,0.0,,0.0,,84.41,14.99,10.89,75.04,-0.26,-0.13,0.02,-0.65,-36.533319948468275,1.3561291801024669,3.899641809079922,-28.708992037697346,N/A,N/A,N/A
7,SPPT,6.00,145.40,2.95,1392.03,22.13,2.03,1.93,0.92,1.56,N/A,N/A,0.0,,0.0,,0.0,,0.0,,72.08,14.27,54.18,135.09,-0.10,-0.11,-0.07,0.04,2.049799196787149,0.10509689182885977,20.444622873488235,2.044216597244473,N/A,N/A,N/A
8,SVI,4.34,19.16,1.30,9833.35,15.37,3.27,3.24,1.05,1.51,0.37,0.31,0.0,,0.08,,0.08,,0.0,,1395.28,1765.08,1070.50,709.82,-0.13,0.90,0.71,0.22,6.851122099233341,0.5614402422579456,8.03943140106376,3.874283704620169,N/A,-21.02,-69.34
9,TEAM,1.35,242.31,1.22,860.04,15.00,1.10,1.10,0.45,0.03,N/A,N/A,0.0,,0.0,,0.0,,0.0,,85.25,138.53,182.60,138.76,0.09,-0.17,-0.01,0.01,0.5061775043310257,0.43075741630876874,8.106549253440345,0.28386374540220694,N/A,N/A,N/A
