,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
0,ADVANC,208.00,20.56,12.29,618403.83,11.79,16.93,14.06,0.81,1.03,0.70,1.04,6.5,,12.28,,7.8,,3.57,,14258.07,9864.91,11226.14,10650.41,12.12,13.17,10.31,10.12,64.75952056013384,4.643063293478682,41.50546088112106,18.978954508084666,8.66,-21.67,-1.92
1,AIT,27.50,13.16,1.98,5673.82,9.49,13.92,13.58,0.50,0.27,0.98,0.87,0.55,,2.0,,2.15,,1.4,,1312.98,1291.64,1873.91,1286.20,3.19,2.58,2.08,2.09,14.981391841599573,0.7499146799278436,20.32577347353301,7.988075232019744,-19.14,-19.36,0.40
2,ALT,3.96,70.28,2.22,3995.64,36.02,1.80,1.82,0.79,1.66,0.71,0.58,0.0,,0.0,,0.1,,0.0,,,67.85,161.03,128.87,,0.36,0.32,0.06,3.1176151286029947,0.909658583156177,22.794076735368684,4.342712247578897,,N/A,-79.63
3,BLISS,0.02,-,-,-,-,0.24,0.23,-,-,-,-,0.0,,0.0,,0.0,,0.0,,0.83,105.23,1001.61,377.13,0.00,0.00,-0.02,-0.01,-2.7355523032213074,0.09937692247022636,9.210285863464307,-9.286541626872042,420.54,N/A,N/A
4,CSL,7.70,14.07,5.78,4577.76,9.24,1.33,1.16,0.03,0.42,0.40,0.89,0.24,,0.42,,0.44,,0.0,,386.20,399.46,420.33,329.57,-0.25,0.53,0.51,0.55,43.22295160390146,1.322147312072318,37.83191613320609,11.520956047731547,N/A,-2.92,6.33
5,DIF,14.20,-,0.91,82473.60,-,15.56,15.53,0.14,0.19,N/A,N/A,0.7085,,0.9535,,0.97,,0.245,,292.12,854.70,856.89,1024.05,,,,,,,,,,,
6,DTAC,51.00,37.73,3.95,120758.36,5.50,12.90,12.13,1.20,1.43,0.18,0.62,2.41,,0.94,,0.0,,0.24,,,10120.53,18293.45,26047.62,,2.49,0.88,0.89,7.502720439882047,2.916631149026999,23.948908205450547,2.6859981691773593,,-64.61,1.40
7,FER,0.50,N/A,1.45,1514.80,-18.28,0.45,0.47,1.43,1.44,N/A,N/A,0.0,,0.0,,0.0,,0.0,,76.89,431.57,435.60,98.69,-0.40,-0.20,-0.09,-0.09,-21.760051105570096,0.5847919655667144,24.88649262202044,-33.683152841353134,N/A,N/A,N/A
8,FORTH,6.65,23.51,3.37,6384.00,10.00,1.97,1.92,0.53,0.80,1.48,1.11,0.15,,0.34,,0.34,,0.25,,193.95,366.31,428.13,998.63,0.35,0.48,0.38,0.28,14.098284052854288,2.8656651816819037,23.70813627750448,3.7799988863522467,36.08,-20.45,-25.77
9,HUMAN,12.60,90.11,8.20,8568.00,55.28,1.54,N/A,1.17,-,0.21,-,0.0,,0.0,,0.0,,0.03,,,,46.27,88.14,,,11.60,0.27,13.926748350336524,0.10691854007889395,39.4503842298697,19.711010220370255,,,N/A
10,ILINK,9.20,118.75,1.30,3334.30,19.72,7.10,7.41,1.23,0.98,0.72,0.40,0.02778,4.00 : 1.00,0.26,,0.2,,0.0,,196.20,304.87,694.53,919.73,0.84,0.80,0.63,0.08,1.080349035842349,1.5352607938826894,13.824721389968369,0.6605489048484948,21.30,-16.84,-87.29
11,INET,3.98,5.31,1.05,1990.17,6.45,3.78,3.50,0.51,0.47,0.17,0.13,0.0,,0.015,,0.0789,,0.1259,,24.46,8.35,213.93,44.37,-0.03,0.16,0.23,0.75,23.11107274543414,1.221443150692175,25.203095755981586,24.243404244309765,N/A,115.74,344.19
12,INTUCH,57.50,17.27,6.38,184369.17,16.41,9.02,8.37,0.70,0.99,1.24,1.28,2.4,,4.6,,2.86,,1.46,,2970.11,3620.62,3065.10,2260.69,4.60,5.01,5.11,3.33,38.069600957199086,0.4714865637863071,25.77721781418234,47.34496924381072,8.92,1.99,-34.91
13,JAS,5.85,16.72,3.31,45029.37,10.37,2.04,1.66,1.20,1.19,1.40,1.24,0.1,,0.6,,0.6,,0.2,,1500.91,7879.72,2481.80,3037.95,0.46,2.23,0.46,0.42,22.614098390248717,2.6442041195813726,36.71962570716267,14.727249066078754,380.31,-80.89,-10.27
14,JASIF,11.50,-,1.08,63250.00,-,10.68,10.67,0.25,0.16,N/A,N/A,0.52,,0.89,,0.91,,0.23,,,143.98,458.58,4.69,,,,,,,,,,,
15,JMART,12.30,18.43,2.79,9031.28,15.41,4.40,4.32,2.37,1.88,0.75,0.04,0.0,,0.49222,5.00 : 1.00,0.19853,6.00 : 1.00,0.32,,136.60,169.47,843.95,796.11,0.71,0.62,0.70,0.67,15.893850763304323,3.6425890079716012,20.148534874351654,3.7029958033822243,-7.79,35.83,11.84
16,JTS,1.56,88.03,1.15,1102.07,58.74,1.36,1.36,0.77,0.48,N/A,N/A,0.0,,0.1,,0.0,,0.0,,185.17,179.23,322.52,96.64,-0.19,-0.06,-0.08,0.02,1.3158862788375636,0.3020747407879212,51.737451737451735,12.580385852090032,N/A,N/A,N/A
17,MFEC,4.64,13.30,1.04,2048.34,13.40,4.47,4.39,0.42,0.68,0.72,1.04,0.0,,0.33,,0.35,,0.0,,193.10,102.45,242.98,188.10,0.61,0.45,0.50,0.35,7.791931790869186,0.6999807628053906,21.14656132887674,5.1105815821264065,-27.32,12.84,-30.56
18,MSC,5.95,9.11,1.24,2142.00,8.32,4.81,4.67,0.62,0.47,0.66,0.59,0.0,,0.3,,0.35,,0.43,,147.88,214.58,179.35,68.07,0.49,0.57,0.52,0.65,14.010263623738654,0.8178344243179902,15.918237088643197,3.157486100532875,17.11,-8.77,24.99
19,PT,6.75,9.92,2.72,1916.25,10.61,2.48,2.17,0.98,0.90,0.73,0.84,0.4,,0.4,,0.98,1.00 : 1.00,0.4,,39.72,55.71,82.74,92.24,1.06,0.85,1.16,0.68,28.20776680606339,1.943418980463374,25.20359704306475,6.125566991356057,-19.75,36.15,17.63
