"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2018","193.50","194.00","197.50","193.50","8.31M","-0.77%"
"May 09, 2018","195.00","201.00","201.00","195.00","14.61M","-4.41%"
"May 08, 2018","204.00","209.00","209.00","203.00","4.78M","-2.39%"
"May 07, 2018","209.00","207.00","209.00","206.00","2.48M","1.46%"
"May 04, 2018","206.00","207.00","208.00","206.00","2.44M","-0.48%"
"May 03, 2018","207.00","207.00","209.00","206.00","6.84M","-0.96%"
"May 02, 2018","209.00","207.00","209.00","206.00","4.28M","0.48%"
"Apr 30, 2018","208.00","209.00","209.00","207.00","2.17M","-0.48%"
"Apr 27, 2018","209.00","207.00","209.00","205.00","5.24M","1.46%"
"Apr 26, 2018","206.00","207.00","208.00","204.00","2.58M","-0.48%"
"Apr 25, 2018","207.00","207.00","209.00","206.00","3.42M","-0.48%"
"Apr 24, 2018","208.00","206.00","209.00","206.00","7.89M","1.96%"
"Apr 23, 2018","204.00","206.00","206.00","204.00","4.59M","-1.45%"
"Apr 20, 2018","207.00","202.00","207.00","202.00","7.64M","1.97%"
"Apr 19, 2018","203.00","201.00","203.00","199.00","5.23M","0.00%"
"Apr 18, 2018","203.00","204.00","205.00","201.00","3.21M","-0.49%"
"Apr 17, 2018","204.00","202.00","205.00","201.00","5.58M","1.49%"
"Apr 12, 2018","201.00","201.00","201.00","200.00","1.56M","0.50%"
"Apr 11, 2018","200.00","199.00","201.00","197.50","2.59M","0.25%"
"Apr 10, 2018","199.50","201.00","202.00","199.50","2.48M","-0.75%"
"Apr 09, 2018","201.00","197.00","201.00","197.00","5.72M","2.03%"
"Apr 05, 2018","197.00","200.00","200.00","196.00","9.00M","-2.48%"
"Apr 04, 2018","202.00","208.00","211.00","202.00","7.83M","-2.42%"
"Apr 03, 2018","207.00","208.00","213.00","206.00","7.55M","-0.96%"
"Apr 02, 2018","209.00","208.00","209.00","207.00","3.30M","0.48%"
"Mar 30, 2018","208.00","208.00","209.00","206.00","4.15M","0.97%"
"Mar 29, 2018","206.00","207.00","209.00","206.00","5.62M","-0.96%"
"Mar 28, 2018","208.00","206.00","209.00","205.00","3.84M","0.97%"
"Mar 27, 2018","206.00","213.00","213.00","206.00","10.85M","-2.83%"
"Mar 26, 2018","212.00","209.00","213.00","209.00","3.24M","1.44%"
"Mar 23, 2018","209.00","204.00","209.00","204.00","3.50M","0.00%"
"Mar 22, 2018","209.00","212.00","213.00","208.00","3.84M","-0.48%"
"Mar 21, 2018","210.00","212.00","215.00","209.00","8.37M","0.00%"
"Mar 20, 2018","210.00","209.00","210.00","207.00","4.09M","0.00%"
"Mar 19, 2018","210.00","213.00","213.00","208.00","6.16M","-0.94%"
"Mar 16, 2018","212.00","208.00","215.00","207.00","14.27M","2.42%"
"Mar 15, 2018","207.00","206.00","209.00","203.00","7.95M","0.00%"
"Mar 14, 2018","207.00","207.00","208.00","206.00","5.38M","0.00%"
